"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000189",215,134,1,0,49,26,35.35,1.4,63.26,1,1,1,2,2001
"S01000190",363,143,1,0,124,57,49.86,1.93,48.21,3,3,0,32,2001
"S01000191",430,56,6,2,181,141,75.35,11.63,13.02,30,12,2,0,2001
"S01000192",369,218,1,8,47,45,25.47,14.63,59.89,39,6,2,3,2001
"S01000193",288,163,0,2,96,26,42.36,1.04,56.6,0,1,0,0,2001
"S01000194",365,203,0,1,78,47,34.79,9.04,56.16,26,6,2,2,2001
"S01000195",400,270,0,0,77,34,28.75,3,68.25,9,3,4,3,2001
"S01000196",317,218,1,1,43,17,19.87,2.52,77.6,6,0,3,28,2001
"S01000197",235,118,0,0,80,31,48.09,1.28,50.64,1,2,2,1,2001
"S01000198",334,235,0,1,57,26,25.15,3.89,70.96,7,5,1,2,2001
"S01000199",349,284,1,1,26,14,11.75,3.44,84.81,8,2,1,12,2001
"S01000200",412,189,0,1,120,85,50,3.88,46.12,7,8,1,1,2001
"S01000201",312,158,0,1,80,60,44.87,4.17,50.96,9,3,0,1,2001
"S01000202",461,78,0,0,202,83,62.04,10.63,27.33,38,11,1,48,2001
"S01000203",296,265,0,2,16,2,6.42,3.38,90.2,8,0,1,2,2001
"S01000204",250,140,0,0,87,19,42.4,0.8,56.8,2,0,0,2,2001
"S01000205",324,132,16,22,52,29,26.23,22.84,50.93,31,5,4,33,2001
"S01000206",270,52,0,0,145,36,67.78,2.22,30,6,0,2,29,2001
"S01000207",525,416,2,4,17,47,13.33,2.1,84.57,4,1,6,28,2001
"S01000208",342,270,1,0,41,18,17.54,1.17,81.29,2,1,1,8,2001
"S01000209",389,313,1,2,40,13,13.88,4.88,81.23,15,1,1,3,2001
"S01000210",355,166,0,0,75,37,31.83,9.01,59.15,23,9,1,44,2001
"S01000211",357,278,7,4,34,21,15.97,5.32,78.71,6,2,2,3,2001
"S01000212",331,26,0,3,123,48,52.27,3.93,43.81,5,5,2,119,2001
"S01000213",393,216,0,2,83,43,36.13,4.83,59.03,14,3,16,16,2001
"S01000214",231,90,0,0,90,47,59.31,0.87,39.83,1,1,0,2,2001
"S01000215",235,11,21,8,95,85,76.6,18.72,4.68,11,4,0,0,2001
"S01000216",290,18,0,1,125,127,86.9,5.17,7.93,9,5,0,5,2001
"S01000217",332,237,0,0,63,20,25.3,1.81,72.89,5,1,1,5,2001
"S01000218",336,142,0,2,112,70,55.06,2.38,42.56,3,3,3,1,2001
"S01000219",351,300,0,2,29,7,10.83,2.56,86.61,6,1,2,4,2001
"S01000220",307,134,1,1,91,40,48.86,6.19,44.95,14,3,19,4,2001
"S01000221",461,215,0,1,174,37,48.16,5.21,46.64,19,4,11,0,2001
"S01000222",330,124,1,0,119,78,60,2.42,37.58,4,3,1,0,2001
"S01000223",247,3,0,0,124,57,84.21,14.17,1.62,33,2,27,1,2001
"S01000224",311,108,0,0,112,82,62.7,1.61,35.69,3,2,1,3,2001
"S01000225",252,53,1,1,100,87,74.21,4.76,21.03,7,3,0,0,2001
"S01000226",279,1,0,0,154,108,93.91,5.38,0.72,13,2,0,1,2001
"S01000227",254,1,1,0,193,44,93.31,6.3,0.39,9,6,0,0,2001
"S01000228",343,21,2,3,170,81,73.47,13.12,13.41,32,8,1,25,2001
"S01000229",395,210,2,1,102,69,43.54,3.29,53.16,7,3,1,0,2001
"S01000230",306,107,3,0,136,47,60.13,4.9,34.97,8,4,1,0,2001
"S01000231",309,1,0,0,244,53,96.12,3.56,0.32,9,2,0,0,2001
"S01000232",296,165,0,1,87,35,41.89,1.69,56.42,1,3,2,2,2001
"S01000233",275,150,3,0,79,34,41.09,4,54.91,2,6,0,1,2001
"S01000234",328,2,0,0,217,91,95.12,4.27,0.61,12,2,4,0,2001
"S01000235",345,3,2,0,240,76,93.62,5.22,1.16,12,4,7,1,2001
"S01000236",295,45,2,2,96,145,81.69,3.05,15.25,2,3,0,0,2001
"S01000237",375,9,15,3,143,191,89.33,7.47,3.2,6,4,1,3,2001
"S01000238",229,2,0,0,170,30,90.83,7.86,1.31,13,5,8,1,2001
"S01000239",294,22,2,1,131,132,89.46,2.72,7.82,2,3,0,1,2001
"S01000240",280,43,0,0,145,88,83.21,1.07,15.71,1,2,0,1,2001
"S01000241",226,3,0,0,168,51,96.9,1.77,1.33,4,0,0,0,2001
"S01000242",300,39,11,41,144,51,65,21,14,7,4,0,3,2001
"S01000243",257,0,0,0,170,84,98.83,1.17,0,0,3,0,0,2001
"S01000244",506,117,3,1,219,144,71.94,4.74,23.32,11,9,1,1,2001
"S01000245",369,6,2,0,230,69,81.3,3.25,15.45,8,2,1,51,2001
"S01000246",284,56,0,0,167,55,78.17,2.11,19.72,3,3,0,0,2001
"S01000247",272,1,1,1,186,77,96.69,1.84,1.47,2,1,0,3,2001
"S01000248",345,1,0,0,219,117,97.39,2.32,0.29,5,3,0,0,2001
"S01000249",292,45,0,1,167,74,82.53,2.05,15.41,4,1,0,0,2001
"S01000250",275,2,0,0,200,65,97.09,2.18,0.73,4,2,2,0,2001
"S01000251",150,2,0,1,114,32,97.33,1.33,1.33,1,0,0,0,2001
"S01000252",344,4,0,0,276,46,96.22,2.62,1.16,9,0,9,0,2001
"S01000253",222,0,0,0,185,34,98.65,1.35,0,1,2,0,0,2001
"S01000254",316,9,0,0,235,65,94.94,2.22,2.85,7,0,0,0,2001
"S01000255",259,1,1,0,218,22,95.75,3.86,0.39,7,2,8,0,2001
"S01000256",418,78,3,3,169,128,71.05,9.81,19.14,28,7,0,2,2001
"S01000257",346,53,0,0,153,126,80.64,3.76,15.61,10,3,0,1,2001
"S01000258",239,1,1,0,178,45,95.82,3.77,0.42,7,1,6,0,2001
"S01000259",220,1,0,0,173,41,97.27,2.27,0.45,5,0,0,0,2001
"S01000260",330,1,6,4,248,32,92.73,6.36,0.91,10,1,26,2,2001
"S01000261",399,17,2,0,217,150,91.98,3.51,4.51,7,5,0,1,2001
"S01000262",405,47,2,1,166,165,81.98,3.95,14.07,13,0,1,10,2001
"S01000263",366,47,7,1,203,58,71.58,15.57,12.84,48,1,1,0,2001
"S01000264",407,117,1,1,210,62,67.32,2.46,30.22,4,4,2,6,2001
"S01000265",335,111,0,2,134,78,63.58,2.69,33.73,2,5,1,2,2001
"S01000266",392,80,14,4,158,105,67.09,12.24,20.66,27,3,0,1,2001
"S01000267",289,83,3,1,144,47,66.44,4.5,29.07,8,1,1,1,2001
"S01000268",324,106,1,0,106,69,54.63,5.56,39.81,12,5,2,23,2001
"S01000269",236,8,5,5,116,83,84.32,11.86,3.81,12,6,0,1,2001
"S01000270",388,19,10,3,155,133,74.48,18.81,6.7,48,12,1,7,2001
"S01000271",365,79,7,3,127,113,65.75,8.22,26.03,13,7,0,16,2001
"S01000272",368,20,5,2,156,112,74.73,16.03,9.24,37,15,7,14,2001
"S01000273",196,6,19,3,95,43,70.41,26.02,3.57,22,7,0,1,2001
"S01000274",256,73,0,0,91,76,65.23,6.25,28.52,10,6,0,0,2001
"S01000275",426,159,4,1,128,111,56.1,6.1,37.79,18,3,0,2,2001
"S01000276",246,4,1,0,166,71,96.34,1.63,2.03,3,0,0,1,2001
"S01000277",275,38,1,1,129,69,74.55,4.73,20.73,7,4,7,19,2001
"S01000278",248,119,2,1,63,38,40.73,4.44,54.84,6,2,0,17,2001
"S01000279",210,2,8,0,93,68,76.67,22.38,0.95,32,7,0,0,2001
"S01000280",248,44,18,3,91,70,64.92,17.34,17.74,17,5,0,0,2001
"S01000281",297,42,30,9,58,53,37.37,41.41,21.21,78,6,0,21,2001
"S01000282",257,38,11,0,124,42,64.59,16.73,18.68,30,2,0,10,2001
"S01000283",350,47,11,0,125,110,67.43,16,16.57,36,9,1,11,2001
"S01000284",287,12,7,5,123,87,73.17,22.65,4.18,45,8,0,0,2001
"S01000285",242,24,11,3,110,77,77.27,12.81,9.92,14,3,0,0,2001
"S01000286",476,82,0,2,177,139,66.81,8.82,24.37,35,5,2,34,2001
"S01000287",280,5,0,0,154,109,93.93,3.93,2.14,6,5,0,1,2001
"S01000288",329,53,0,1,199,64,80.24,2.13,17.63,6,0,1,5,2001
"S01000289",417,143,3,2,136,99,56.59,7.43,35.97,17,9,1,7,2001
"S01000290",332,173,1,1,101,46,44.28,3.01,52.71,6,2,0,2,2001
"S01000291",284,49,1,0,169,55,79.23,2.11,18.66,2,3,1,4,2001
"S01000292",365,17,1,1,181,145,89.32,5.75,4.93,13,6,0,1,2001
"S01000293",434,50,3,2,117,147,61.75,10.37,27.88,31,9,4,71,2001
"S01000294",243,53,0,0,154,24,73.66,3.7,22.63,9,0,1,2,2001
"S01000295",220,2,2,0,116,97,96.82,2.27,0.91,2,1,0,0,2001
"S01000296",207,0,0,0,85,94,89.86,3.86,6.28,5,3,7,13,2001
"S01000297",308,42,0,0,145,66,72.4,2.27,25.32,5,2,12,36,2001
"S01000298",194,3,2,0,99,61,83.51,5.15,11.34,4,4,2,19,2001
"S01000299",344,5,13,3,119,159,81.1,17.44,1.45,38,6,1,0,2001
"S01000300",293,9,10,2,128,84,72.35,24.23,3.41,50,9,0,1,2001
"S01000301",274,37,37,4,51,90,51.46,29.93,18.61,33,8,0,14,2001
"S01000302",207,1,10,1,75,51,61.35,35.27,3.38,57,5,1,6,2001
"S01000303",278,4,41,9,38,94,47.48,50,2.52,87,2,0,3,2001
"S01000304",303,1,1,1,206,92,98.35,1.32,0.33,2,0,0,0,2001
"S01000305",413,94,2,0,192,103,71.67,1.94,26.39,5,1,1,15,2001
"S01000306",279,10,5,1,98,101,71.68,24.73,3.58,60,3,1,0,2001
"S01000307",336,14,0,0,249,45,93.45,2.38,4.17,7,1,20,0,2001
