General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01000069,437,-,31,1,351,-,21,-,55,-,9,-,31,-,1,1,30,14,7,9,3,-,3,-,-,-,-,-
S01000070,374,2,16,3,282,2,10,1,64,-,3,-,28,-,3,2,31,23,8,-,3,3,-,-,-,-,-,-
S01000071,418,-,19,1,330,-,8,1,43,-,3,-,45,-,8,-,48,29,11,8,-,-,-,-,-,-,-,-
S01000072,487,1,26,6,270,1,10,-,72,-,4,2,145,-,12,4,27,14,4,9,6,-,3,3,-,-,-,-
S01000073,348,-,29,2,90,-,8,-,86,-,6,-,172,-,15,2,11,4,2,5,6,3,3,-,-,-,-,-
S01000074,392,20,29,-,332,17,21,-,41,1,6,-,19,2,2,-,50,40,8,2,-,-,-,-,-,-,-,-
S01000075,298,2,40,7,126,-,16,-,81,2,7,4,91,-,17,3,47,13,14,20,3,-,-,3,3,-,3,-
S01000076,500,2,34,3,146,-,5,-,115,1,9,2,239,1,20,1,24,8,5,11,3,-,-,3,-,-,-,-
S01000077,527,-,48,13,152,-,9,6,97,-,5,1,278,-,34,6,55,13,9,33,15,-,4,11,-,-,-,-
S01000078,501,3,86,3,260,1,45,2,128,-,15,1,113,2,26,-,84,41,18,25,3,-,-,3,-,-,-,-
S01000079,488,8,109,13,144,2,14,3,101,2,26,2,243,4,69,8,86,10,22,54,16,-,6,10,-,-,-,-
S01000080,552,2,95,13,185,-,24,1,136,1,24,1,231,1,47,11,96,18,23,55,18,3,3,12,3,-,-,3
S01000081,521,3,59,8,154,-,7,-,96,1,18,3,271,2,34,5,54,10,10,34,11,-,4,7,-,-,-,-
S01000082,514,2,46,1,367,2,29,-,93,-,6,-,54,-,11,1,41,35,1,5,-,-,-,-,-,-,-,-
S01000083,404,7,43,3,112,2,9,-,98,4,2,-,194,1,32,3,46,6,10,30,3,-,3,-,-,-,-,-
S01000084,470,5,51,3,268,4,21,2,109,1,9,-,93,-,21,1,74,30,20,24,10,-,3,7,-,-,-,-
S01000085,339,2,71,8,121,-,23,5,112,1,19,-,106,1,29,3,85,19,29,37,11,-,3,8,-,-,-,-
S01000086,388,1,62,11,109,1,8,-,88,-,15,1,191,-,39,10,57,15,11,31,13,-,3,10,-,-,-,-
S01000087,321,2,26,5,92,1,6,1,75,1,8,1,154,-,12,3,40,8,9,23,3,-,-,3,-,-,-,-
S01000088,352,2,88,22,118,2,17,6,89,-,25,5,145,-,46,11,40,6,8,26,22,5,5,12,-,-,-,-
S01000089,558,7,51,5,173,1,9,-,125,3,16,1,260,3,26,4,20,5,5,10,3,-,-,3,-,-,-,-
S01000090,447,2,65,7,108,-,11,1,88,-,9,2,251,2,45,4,96,20,25,51,13,-,-,13,-,-,-,-
S01000091,469,8,107,17,165,1,34,2,111,1,26,1,193,6,47,14,90,20,26,44,9,3,-,6,-,-,-,-
S01000092,434,2,108,18,120,1,24,1,109,-,28,6,205,1,56,11,103,18,26,59,16,-,3,13,-,-,-,-
S01000093,286,1,43,3,106,-,14,-,76,-,16,1,104,1,13,2,62,19,16,27,6,-,-,6,-,-,-,-
S01000094,290,-,63,20,114,-,11,3,75,-,18,4,101,-,34,13,58,10,16,32,16,-,-,16,-,-,-,-
S01000095,403,1,75,8,118,-,12,1,98,-,13,3,187,1,50,4,85,11,27,47,13,-,-,13,-,-,-,-
S01000096,444,-,19,4,289,-,10,-,76,-,2,-,79,-,7,4,20,8,7,5,-,-,-,-,-,-,-,-
S01000097,529,-,61,16,104,-,11,3,87,-,12,3,338,-,38,10,56,9,9,38,22,3,4,15,-,-,-,-
S01000098,426,7,106,15,178,2,29,3,96,2,33,5,152,3,44,7,116,30,30,56,14,-,3,11,-,-,-,-
S01000099,449,2,32,4,123,2,9,-,87,-,7,-,239,-,16,4,15,6,3,6,9,3,3,3,-,-,-,-
S01000100,325,4,66,14,95,-,14,1,76,1,16,3,154,3,36,10,109,29,26,54,15,-,3,12,-,-,-,-
S01000101,464,1,61,17,94,-,9,4,80,1,8,4,290,-,44,9,70,3,17,50,17,3,-,14,-,-,-,-
S01000102,441,-,46,8,276,-,15,2,72,-,10,-,93,-,21,6,62,14,14,34,8,-,3,5,-,-,-,-
S01000103,296,4,60,13,78,-,10,1,72,1,17,4,146,3,33,8,59,4,9,46,19,-,-,19,-,-,-,-
S01000104,457,1,39,3,120,-,5,-,70,1,8,-,267,-,26,3,26,4,3,19,-,-,-,-,-,-,-,-
S01000105,529,3,54,7,181,2,13,1,129,1,14,2,219,-,27,4,46,11,11,24,-,-,-,-,-,-,-,-
S01000106,360,-,39,9,49,-,2,1,61,-,7,-,250,-,30,8,42,7,7,28,9,-,-,9,-,-,-,-
S01000107,446,3,73,14,204,-,18,4,109,2,25,3,133,1,30,7,107,31,27,49,15,3,3,9,-,-,-,-
S01000108,361,3,47,4,212,3,25,2,66,-,11,-,83,-,11,2,54,19,10,25,12,-,3,9,-,-,-,-
S01000109,459,4,73,10,251,1,25,2,84,1,23,3,124,2,25,5,82,16,25,41,21,-,6,15,-,-,-,-
S01000110,482,4,25,2,286,1,12,-,75,-,4,-,121,3,9,2,20,8,4,8,3,-,-,3,-,-,-,-
S01000111,400,2,62,10,97,-,9,1,86,-,17,1,217,2,36,8,58,11,12,35,7,-,-,7,-,-,-,-
S01000112,501,6,69,7,244,2,20,3,102,2,19,-,155,2,30,4,67,12,14,41,6,-,3,3,-,-,-,-
S01000113,295,2,31,3,57,1,5,-,53,1,8,1,185,-,18,2,32,7,6,19,16,-,-,16,-,-,-,-
S01000114,381,2,25,-,271,1,17,-,70,-,6,-,40,1,2,-,52,33,7,12,4,-,-,4,-,-,-,-
S01000115,516,5,27,1,401,5,21,-,72,-,5,-,43,-,1,1,36,21,8,7,-,-,-,-,-,-,-,-
S01000116,484,2,90,16,128,-,24,1,120,-,18,4,236,2,48,11,120,13,24,83,22,-,-,22,-,-,-,-
S01000117,510,-,50,5,131,-,10,-,90,-,7,-,289,-,33,5,53,12,9,32,5,-,-,5,-,-,-,-
S01000118,389,1,29,2,242,-,18,1,66,1,4,1,81,-,7,-,38,21,11,6,9,3,3,3,-,-,-,-
S01000119,416,2,80,8,203,1,23,-,87,-,21,3,126,1,36,5,81,20,15,46,9,3,-,6,3,-,-,3
S01000120,295,1,48,3,81,-,10,1,64,-,8,-,150,1,30,2,51,10,8,33,6,-,-,6,-,-,-,-
S01000121,463,1,23,1,216,1,12,-,75,-,4,-,172,-,7,1,23,8,2,13,-,-,-,-,-,-,-,-
S01000122,392,3,34,1,293,3,27,-,68,-,3,1,31,-,4,-,24,19,3,2,-,-,-,-,-,-,-,-
S01000123,379,-,29,5,179,-,11,1,76,-,9,2,124,-,9,2,16,8,4,4,11,4,3,4,-,-,-,-
S01000124,471,3,76,14,212,-,23,2,118,-,22,2,141,3,31,10,96,19,23,54,13,-,-,13,-,-,-,-
S01000125,404,3,56,9,283,2,24,2,59,-,15,2,62,1,17,5,53,20,18,15,9,3,-,6,-,-,-,-
S01000126,406,-,46,4,254,-,19,3,76,-,11,-,76,-,16,1,71,22,18,31,10,3,3,4,-,-,-,-
S01000127,470,2,20,6,99,-,4,-,100,-,7,-,271,2,9,6,20,6,2,12,13,-,3,10,-,-,-,-
S01000128,452,5,54,8,221,1,15,3,104,3,20,1,127,1,19,4,120,34,34,52,12,-,3,9,-,-,-,-
S01000129,166,3,31,6,44,-,6,1,43,-,4,-,79,3,21,5,59,7,16,36,7,-,-,7,-,-,-,-
S01000130,445,4,52,5,254,2,25,-,83,1,9,1,108,1,18,4,61,27,11,23,9,-,-,9,-,-,-,-
S01000131,378,2,42,10,93,-,4,1,88,1,5,1,197,1,33,8,43,3,11,29,12,3,3,6,-,-,-,-
S01000132,432,4,72,8,119,2,7,-,108,-,10,3,205,2,55,5,89,8,18,63,13,3,-,10,3,-,-,3
S01000133,437,1,29,4,322,1,16,-,70,-,8,2,45,-,5,2,24,9,4,11,6,3,-,3,-,-,-,-
S01000134,423,1,14,-,351,1,9,-,55,-,3,-,17,-,2,-,35,24,1,10,6,3,-,3,-,-,-,-
S01000135,412,2,38,4,338,2,26,3,53,-,6,-,21,-,6,1,36,28,6,2,3,-,-,3,-,-,-,-
S01000136,403,1,10,1,321,1,8,1,55,-,-,-,27,-,2,-,34,27,3,4,3,-,-,3,-,-,-,-
S01000137,390,1,77,11,140,-,18,1,87,-,17,2,163,1,42,8,88,21,24,43,19,-,3,16,3,-,-,3
S01000138,376,-,50,5,181,-,14,-,88,-,21,-,107,-,15,5,69,27,12,30,17,3,5,9,-,-,-,-
S01000139,511,-,29,-,423,-,20,-,56,-,9,-,32,-,-,-,21,16,3,2,9,3,3,3,-,-,-,-
S01000140,573,1,31,2,469,-,16,1,60,-,4,-,44,1,11,1,28,17,7,4,-,-,-,-,-,-,-,-
S01000141,460,1,59,16,158,-,4,-,82,-,11,-,220,1,44,16,63,10,6,47,18,-,4,14,3,-,-,3
S01000142,410,-,27,-,329,-,17,-,50,-,5,-,31,-,5,-,32,24,7,1,4,4,-,-,-,-,-,-
S01000143,402,2,14,5,166,-,4,-,75,1,5,-,161,1,5,5,23,7,4,12,3,-,-,3,-,-,-,-
S01000144,214,4,43,2,83,-,13,1,48,2,9,-,83,2,21,1,50,7,9,34,8,-,-,8,-,-,-,-
S01000145,542,1,24,1,422,1,15,-,82,-,7,1,38,-,2,-,30,20,3,7,-,-,-,-,-,-,-,-
S01000146,533,10,86,5,289,5,36,1,122,3,18,-,122,2,32,4,110,46,21,43,17,4,5,8,-,-,-,-
S01000147,364,-,43,3,153,-,15,-,102,-,9,-,109,-,19,3,79,23,18,38,8,-,-,8,3,-,-,3
