General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01004909,640,-,32,4,294,-,11,-,144,-,15,-,202,-,6,4,34,17,10,7,3,-,-,3,-,-,-,-
S01004910,556,2,19,-,410,1,8,-,103,1,9,-,43,-,2,-,37,13,16,8,7,4,3,-,-,-,-,-
S01004911,397,-,56,4,150,-,27,-,143,-,15,2,104,-,14,2,37,16,9,12,7,4,3,-,-,-,-,-
S01004912,425,-,23,2,297,-,13,2,81,-,7,-,47,-,3,-,29,13,10,6,3,3,-,-,-,-,-,-
S01004913,407,3,21,4,311,3,10,1,68,-,6,1,28,-,5,2,16,11,4,1,3,-,-,3,-,-,-,-
S01004914,343,3,42,2,129,2,21,-,108,-,8,-,106,1,13,2,50,18,13,19,3,-,-,3,-,-,-,-
S01004915,336,-,28,1,235,-,16,-,65,-,7,1,36,-,5,-,19,10,6,3,3,-,-,3,-,-,-,-
S01004916,471,6,18,1,345,4,10,-,81,-,7,1,45,2,1,-,34,18,13,3,9,3,3,3,-,-,-,-
S01004917,307,-,45,-,110,-,18,-,110,-,18,-,87,-,9,-,15,6,3,6,-,-,-,-,-,-,-,-
S01004918,355,1,56,-,136,1,22,-,107,-,17,-,112,-,17,-,22,6,8,8,-,-,-,-,-,-,-,-
S01004919,275,1,23,1,203,-,17,-,50,1,5,1,22,-,1,-,26,18,7,1,-,-,-,-,-,-,-,-
S01004920,585,4,25,2,417,4,18,1,124,-,2,1,44,-,5,-,43,25,10,8,-,-,-,-,-,-,-,-
S01004921,430,3,14,-,299,2,8,-,97,1,4,-,34,-,2,-,33,16,12,5,3,3,-,-,-,-,-,-
S01004922,397,2,46,1,159,-,18,1,121,1,16,-,117,1,12,-,56,12,31,13,4,-,-,4,-,-,-,-
S01004923,429,6,76,4,219,5,31,1,120,-,25,1,90,1,20,2,28,11,6,11,9,3,3,3,-,-,-,-
S01004924,524,-,19,-,354,-,9,-,109,-,6,-,61,-,4,-,42,22,13,7,-,-,-,-,-,-,-,-
S01004925,333,-,20,3,191,-,8,2,72,-,3,-,70,-,9,1,19,5,8,6,-,-,-,-,-,-,-,-
S01004926,511,5,72,11,215,-,26,3,123,3,22,5,173,2,24,3,51,14,11,26,3,-,-,3,-,-,-,-
S01004927,592,3,31,2,297,-,20,1,152,-,6,1,143,3,5,-,33,18,12,3,5,-,-,5,-,-,-,-
S01004928,294,3,113,38,101,1,21,9,77,-,28,7,116,2,64,22,18,4,8,6,-,-,-,-,-,-,-,-
S01004929,432,3,21,-,229,3,12,-,115,-,3,-,88,-,6,-,16,7,6,3,3,3,-,-,-,-,-,-
S01004930,365,4,23,-,278,4,16,-,51,-,6,-,36,-,1,-,26,14,8,4,3,3,-,-,-,-,-,-
S01004931,532,9,33,-,408,7,24,-,78,2,7,-,46,-,2,-,47,23,16,8,6,-,3,3,-,-,-,-
S01004932,408,4,24,1,309,3,18,1,73,1,5,-,26,-,1,-,28,24,1,3,-,-,-,-,-,-,-,-
S01004933,469,4,32,-,325,3,18,-,89,1,7,-,55,-,7,-,23,15,6,2,-,-,-,-,-,-,-,-
S01004934,381,5,23,3,253,4,11,-,73,1,10,1,55,-,2,2,21,10,6,5,3,-,-,3,3,-,3,-
S01004935,437,-,12,4,230,-,3,2,106,-,6,-,101,-,3,2,17,10,3,4,3,3,-,-,-,-,-,-
S01004936,514,3,35,3,325,2,22,2,112,1,9,-,77,-,4,1,34,24,5,5,-,-,-,-,-,-,-,-
S01004937,286,6,27,-,221,3,15,-,40,3,7,-,25,-,5,-,22,11,6,5,3,-,-,3,-,-,-,-
S01004938,473,2,13,-,388,2,9,-,62,-,3,-,23,-,1,-,35,26,7,2,3,3,-,-,-,-,-,-
S01004939,345,-,17,-,262,-,13,-,54,-,4,-,29,-,-,-,21,12,6,3,-,-,-,-,-,-,-,-
S01004940,337,-,14,-,275,-,10,-,35,-,1,-,27,-,3,-,5,4,1,-,-,-,-,-,-,-,-,-
S01004941,340,-,16,-,256,-,7,-,58,-,5,-,26,-,4,-,32,16,10,6,3,-,-,3,-,-,-,-
S01004942,632,3,16,5,400,-,12,1,128,3,1,2,104,-,3,2,20,8,5,7,-,-,-,-,-,-,-,-
S01004943,505,6,28,1,334,3,15,-,102,3,10,-,69,-,3,1,17,14,3,-,3,3,-,-,-,-,-,-
S01004944,331,8,9,1,211,4,3,-,62,2,1,-,58,2,5,1,9,2,6,1,-,-,-,-,-,-,-,-
S01004945,342,1,40,2,189,1,24,-,75,-,9,-,78,-,7,2,18,8,4,6,3,-,-,3,-,-,-,-
S01004946,358,13,14,8,208,9,3,4,68,1,6,1,82,3,5,3,19,8,3,8,3,-,-,3,-,-,-,-
S01004947,387,7,23,2,240,7,11,1,76,-,7,-,71,-,5,1,24,9,6,9,6,3,-,3,-,-,-,-
S01004948,342,8,38,11,194,2,10,3,55,2,13,-,93,4,15,8,25,10,8,7,-,-,-,-,-,-,-,-
S01004949,352,4,19,7,205,1,7,1,64,1,5,-,83,2,7,6,26,14,3,9,3,-,-,3,-,-,-,-
S01004950,308,2,20,6,178,1,12,4,55,1,5,-,75,-,3,2,37,20,7,10,9,3,3,3,-,-,-,-
S01004951,394,9,16,3,256,5,9,1,51,1,4,-,87,3,3,2,25,11,8,6,-,-,-,-,-,-,-,-
S01004952,518,5,58,2,320,4,27,-,105,-,16,-,93,1,15,2,55,27,16,12,-,-,-,-,-,-,-,-
S01004953,524,4,46,3,392,4,25,2,74,-,13,-,58,-,8,1,56,33,15,8,3,-,3,-,-,-,-,-
S01004954,408,5,34,-,292,4,24,-,69,-,3,-,47,1,7,-,45,31,9,5,-,-,-,-,-,-,-,-
S01004955,395,2,30,1,270,1,21,1,61,1,4,-,64,-,5,-,32,17,8,7,3,3,-,-,-,-,-,-
S01004956,389,10,31,2,226,7,15,2,73,2,8,-,90,1,8,-,33,18,6,9,-,-,-,-,-,-,-,-
S01004957,376,4,39,5,213,1,20,1,84,1,14,-,79,2,5,4,34,20,7,7,-,-,-,-,-,-,-,-
S01004958,384,8,75,4,214,7,42,-,76,1,19,-,94,-,14,4,53,26,18,9,-,-,-,-,-,-,-,-
S01004959,315,13,50,4,190,5,27,1,58,5,10,-,67,3,13,3,65,34,13,18,4,4,-,-,-,-,-,-
S01004960,311,-,27,2,197,-,12,-,52,-,4,-,62,-,11,2,25,10,4,11,6,3,-,3,-,-,-,-
S01004961,335,6,33,8,187,6,14,1,71,-,8,1,77,-,11,6,46,25,12,9,4,-,-,4,-,-,-,-
S01004962,337,2,24,3,154,-,13,-,79,-,6,-,104,2,5,3,22,7,3,12,3,3,-,-,-,-,-,-
S01004963,319,13,25,2,187,5,16,1,72,6,5,-,60,2,4,1,14,8,2,4,10,4,3,3,-,-,-,-
S01004964,603,8,24,1,346,6,9,-,121,-,6,-,136,2,9,1,16,7,4,5,6,3,-,3,4,-,-,4
S01004965,494,7,28,3,333,5,19,1,78,2,4,-,83,-,5,2,26,16,4,6,3,3,-,-,3,3,-,-
S01004966,501,8,12,-,313,4,7,-,103,2,3,-,85,2,2,-,10,4,3,3,-,-,-,-,-,-,-,-
S01004967,394,9,7,4,225,3,2,-,72,3,1,1,97,3,4,3,26,10,9,7,5,-,5,-,-,-,-,-
S01004968,343,11,9,9,209,5,4,2,54,5,-,2,80,1,5,5,14,5,2,7,12,3,3,6,-,-,-,-
S01004969,556,20,10,14,386,13,5,4,60,3,2,2,110,4,3,8,27,12,6,9,7,4,-,3,-,-,-,-
S01004970,446,15,13,12,334,11,5,4,42,2,-,2,70,2,8,6,22,16,1,5,3,-,-,3,-,-,-,-
S01004971,602,14,11,13,377,9,8,7,95,1,1,1,130,4,2,5,39,18,9,12,10,6,-,4,-,-,-,-
S01004972,423,10,18,7,247,6,9,3,92,3,4,1,84,1,5,3,14,5,7,2,7,4,3,-,-,-,-,-
S01004973,529,7,42,3,223,4,11,-,118,-,11,-,188,3,20,3,30,14,5,11,7,3,-,4,-,-,-,-
S01004974,520,3,71,11,225,2,31,3,119,-,17,4,176,1,23,4,33,12,10,11,10,3,4,3,-,-,-,-
S01004975,457,4,46,5,176,1,13,1,94,-,10,2,187,3,23,2,28,10,9,9,-,-,-,-,-,-,-,-
S01004976,443,2,35,2,272,2,15,2,74,-,7,-,97,-,13,-,27,16,4,7,-,-,-,-,-,-,-,-
S01004977,580,2,38,4,383,-,22,3,89,-,5,-,108,2,11,1,29,14,7,8,3,3,-,-,-,-,-,-
S01004978,545,5,42,8,280,2,10,1,121,3,11,1,144,-,21,6,52,18,12,22,3,-,-,3,-,-,-,-
S01004979,499,4,53,11,181,2,12,3,108,1,20,4,210,1,21,4,38,7,7,24,7,3,-,4,-,-,-,-
S01004980,627,6,41,14,269,2,16,3,174,2,7,5,184,2,18,6,46,10,16,20,8,5,-,3,-,-,-,-
S01004981,578,6,42,6,216,5,9,1,139,1,10,1,223,-,23,4,30,11,5,14,3,-,3,-,-,-,-,-
S01004982,373,1,32,3,132,-,8,1,79,-,12,-,162,1,12,2,40,13,14,13,-,-,-,-,-,-,-,-
S01004983,535,5,40,4,276,2,15,-,120,3,5,1,139,-,20,3,35,13,12,10,-,-,-,-,-,-,-,-
S01004984,465,1,40,6,220,-,13,2,93,-,11,2,152,1,16,2,33,18,9,6,6,3,3,-,-,-,-,-
S01004985,428,6,33,6,219,1,10,4,96,4,12,1,113,1,11,1,20,1,8,11,3,3,-,-,-,-,-,-
S01004986,367,2,27,3,114,-,4,1,88,-,8,1,165,2,15,1,35,13,8,14,4,-,-,4,-,-,-,-
S01004987,300,4,42,5,109,2,8,1,65,1,13,2,126,1,21,2,17,9,3,5,-,-,-,-,-,-,-,-
S01004988,301,2,41,8,99,1,16,3,80,-,10,1,122,1,15,4,28,9,10,9,13,3,6,4,-,-,-,-
S01004989,330,6,42,10,131,2,18,5,84,2,9,2,115,2,15,3,32,18,4,10,3,-,3,-,-,-,-,-
S01004990,319,2,19,3,145,1,6,-,62,1,8,1,112,-,5,2,24,13,9,2,4,-,-,4,-,-,-,-
S01004991,354,7,22,4,156,3,9,-,73,2,4,-,125,2,9,4,23,10,5,8,-,-,-,-,-,-,-,-
S01004992,513,4,20,-,376,3,14,-,72,-,3,-,65,1,3,-,12,7,4,1,-,-,-,-,-,-,-,-
S01004993,454,-,22,10,162,-,11,2,114,-,4,2,178,-,7,6,12,5,2,5,10,3,3,4,-,-,-,-
S01004994,433,3,33,-,212,1,11,-,101,2,11,-,120,-,11,-,23,9,5,9,10,3,3,4,-,-,-,-
S01004995,487,9,39,6,294,2,16,3,92,3,12,1,101,4,11,2,30,11,4,15,4,-,-,4,-,-,-,-
S01004996,323,3,53,17,180,1,16,3,80,1,21,6,63,1,16,8,29,13,9,7,4,-,-,4,-,-,-,-
S01004997,505,6,36,2,208,2,13,1,102,1,7,-,195,3,16,1,27,17,6,4,3,-,3,-,-,-,-,-
S01004998,477,4,36,11,228,1,15,4,98,2,13,2,151,1,8,5,46,24,10,12,8,-,3,5,-,-,-,-
S01004999,505,5,43,1,297,4,15,-,98,1,10,-,110,-,18,1,29,12,10,7,6,-,-,6,-,-,-,-
S01005000,360,3,22,-,212,3,10,-,66,-,8,-,82,-,4,-,11,6,1,4,6,-,3,3,-,-,-,-
S01005001,571,3,35,4,233,-,14,-,129,1,7,-,209,2,14,4,30,9,6,15,4,-,-,4,-,-,-,-
S01005002,431,5,23,7,172,1,8,4,73,3,2,-,186,1,13,3,33,15,9,9,3,3,-,-,-,-,-,-
S01005003,528,6,48,9,267,4,21,3,115,1,11,1,146,1,16,5,44,24,6,14,7,3,-,4,3,3,-,-
S01005004,325,2,25,2,171,-,16,-,63,-,4,-,91,2,5,2,21,12,6,3,4,4,-,-,-,-,-,-
S01005005,558,2,27,2,388,1,12,-,95,-,7,-,75,1,8,2,23,8,7,8,-,-,-,-,-,-,-,-
S01005006,308,-,34,-,146,-,15,-,63,-,10,-,99,-,9,-,36,19,12,5,4,-,-,4,-,-,-,-
S01005007,477,4,40,6,307,3,18,1,74,-,6,1,96,1,16,4,29,16,6,7,8,3,-,5,-,-,-,-
S01005008,547,11,49,6,225,3,24,2,121,3,12,2,201,5,13,2,44,15,11,18,18,5,3,10,-,-,-,-
S01005009,386,4,50,5,206,1,19,1,89,2,12,3,91,1,19,1,14,6,5,3,7,-,4,3,-,-,-,-
S01005010,341,4,17,8,213,2,11,1,66,2,3,6,62,-,3,1,45,26,9,10,-,-,-,-,-,-,-,-
S01005011,315,-,13,1,264,-,8,-,40,-,3,1,11,-,2,-,28,21,4,3,6,-,3,3,-,-,-,-
S01005012,369,13,55,10,217,10,35,2,91,2,10,2,61,1,10,6,47,23,10,14,6,3,3,-,-,-,-,-
S01005013,365,3,35,4,262,3,21,1,54,-,4,-,49,-,10,3,26,16,8,2,-,-,-,-,-,-,-,-
S01005014,426,6,40,-,304,6,27,-,71,-,11,-,51,-,2,-,23,16,5,2,-,-,-,-,-,-,-,-
S01005015,366,2,37,4,217,2,23,3,64,-,7,1,85,-,7,-,21,12,7,2,-,-,-,-,-,-,-,-
S01005016,423,6,46,3,222,3,19,1,83,2,10,2,118,1,17,-,41,19,10,12,7,3,-,4,-,-,-,-
S01005017,417,-,37,5,166,-,10,-,102,-,17,-,149,-,10,5,14,6,4,4,8,3,-,5,-,-,-,-
S01005018,355,-,25,-,242,-,11,-,62,-,4,-,51,-,10,-,19,6,6,7,-,-,-,-,-,-,-,-
S01005019,424,2,33,4,284,1,24,-,89,-,6,-,51,1,3,4,50,38,8,4,-,-,-,-,-,-,-,-
S01005020,418,7,32,4,129,3,14,1,99,2,6,-,190,2,12,3,23,13,6,4,-,-,-,-,-,-,-,-
S01005021,473,-,32,9,175,-,10,-,107,-,8,4,191,-,14,5,31,12,7,12,3,3,-,-,-,-,-,-
S01005022,391,-,29,2,192,-,8,-,80,-,6,-,119,-,15,2,46,15,18,13,10,-,3,7,-,-,-,-
S01005023,361,3,41,5,177,2,24,3,89,-,15,1,95,1,2,1,29,12,8,9,3,-,-,3,-,-,-,-
S01005024,473,-,53,12,223,-,17,3,104,-,13,1,146,-,23,8,26,14,5,7,12,-,8,4,-,-,-,-
S01005025,391,6,20,7,236,4,9,4,59,1,5,1,96,1,6,2,22,10,4,8,5,5,-,-,-,-,-,-
S01005026,408,-,17,2,139,-,2,-,66,-,4,-,203,-,11,2,19,5,4,10,-,-,-,-,-,-,-,-
S01005027,406,2,59,11,184,1,17,4,96,-,12,3,126,1,30,4,51,13,18,20,3,3,-,-,-,-,-,-
S01005028,346,2,14,1,149,-,2,1,80,-,10,-,117,2,2,-,28,6,12,10,6,-,3,3,-,-,-,-
S01005029,542,6,78,7,234,1,26,3,150,3,26,-,158,2,26,4,92,36,23,33,11,-,6,5,-,-,-,-
S01005030,580,4,35,3,250,-,7,-,128,3,9,-,202,1,19,3,32,12,12,8,3,-,3,-,-,-,-,-
S01005031,399,2,66,2,204,2,28,-,80,-,15,-,115,-,23,2,40,11,8,21,13,3,3,7,-,-,-,-
S01005032,521,1,24,1,255,-,8,1,118,1,7,-,148,-,9,-,28,5,8,15,4,-,-,4,-,-,-,-
S01005033,400,-,54,13,168,-,16,3,90,-,14,5,142,-,24,5,20,4,10,6,8,3,5,-,-,-,-,-
S01005034,520,2,57,2,234,-,28,1,130,-,21,-,156,2,8,1,35,12,11,12,-,-,-,-,-,-,-,-
S01005035,569,16,44,2,302,8,15,2,111,3,12,-,156,5,17,-,41,14,10,17,10,-,3,7,-,-,-,-
S01005036,297,1,17,2,106,-,6,-,68,-,6,1,123,1,5,1,19,8,6,5,-,-,-,-,-,-,-,-
S01005037,497,6,85,4,290,4,47,4,109,1,23,-,98,1,15,-,90,34,34,22,6,-,3,3,-,-,-,-
S01005038,501,4,40,2,230,1,9,1,109,1,16,1,162,2,15,-,40,14,12,14,8,-,5,3,-,-,-,-
S01005039,650,-,38,1,299,-,14,-,134,-,10,1,217,-,14,-,41,13,13,15,6,-,3,3,-,-,-,-
S01005040,517,11,88,7,327,6,49,3,106,4,24,1,84,1,15,3,76,39,17,20,13,3,7,3,-,-,-,-
S01005041,279,6,70,5,139,5,21,3,74,1,30,-,66,-,19,2,87,35,24,28,6,-,3,3,-,-,-,-
S01005042,526,-,23,-,227,-,11,-,112,-,6,-,187,-,6,-,36,13,9,14,6,3,3,-,-,-,-,-
S01005043,425,4,38,3,268,3,17,2,62,1,8,1,95,-,13,-,33,21,4,8,3,3,-,-,-,-,-,-
S01005044,558,-,51,9,283,-,22,4,134,-,9,1,141,-,20,4,57,17,22,18,6,3,-,3,-,-,-,-
S01005045,534,2,49,8,229,-,14,2,123,1,16,3,182,1,19,3,20,5,6,9,6,-,6,-,-,-,-,-
S01005046,580,2,42,4,288,-,9,1,116,-,14,-,176,2,19,3,41,14,13,14,7,-,-,7,-,-,-,-
S01005047,447,4,85,8,259,2,43,5,100,1,20,1,88,1,22,2,103,45,24,34,8,5,-,3,-,-,-,-
S01005048,353,5,29,2,96,1,9,-,67,2,5,2,190,2,15,-,36,9,12,15,11,-,3,8,-,-,-,-
S01005049,448,3,55,5,277,3,31,1,102,-,17,-,69,-,7,4,73,36,19,18,-,-,-,-,-,-,-,-
S01005050,504,3,35,3,409,3,29,-,67,-,5,2,28,-,1,1,46,35,7,4,3,3,-,-,-,-,-,-
S01005051,541,3,53,2,234,1,18,-,143,2,25,-,164,-,10,2,51,24,13,14,9,3,6,-,-,-,-,-
S01005052,419,3,30,4,193,1,5,-,95,1,9,-,131,1,16,4,22,10,7,5,-,-,-,-,-,-,-,-
S01005053,437,8,36,1,323,6,24,1,81,1,8,-,33,1,4,-,52,43,8,1,6,3,3,-,-,-,-,-
S01005054,323,1,15,-,229,1,8,-,64,-,5,-,30,-,2,-,20,11,5,4,-,-,-,-,-,-,-,-
S01005055,442,3,23,-,336,1,18,-,72,1,3,-,34,1,2,-,25,20,4,1,3,-,-,3,-,-,-,-
S01005056,368,5,64,4,170,3,22,2,88,1,21,-,110,1,21,2,80,34,23,23,15,-,7,8,-,-,-,-
S01005057,397,1,31,6,293,1,23,6,60,-,4,-,44,-,4,-,43,31,9,3,-,-,-,-,-,-,-,-
S01005058,378,-,26,1,270,-,21,-,62,-,2,1,46,-,3,-,39,24,9,6,6,3,-,3,-,-,-,-
S01005059,316,2,21,-,244,1,13,-,48,1,6,-,24,-,2,-,15,10,4,1,-,-,-,-,-,-,-,-
S01005060,379,2,27,1,290,2,21,-,59,-,4,1,30,-,2,-,32,25,6,1,-,-,-,-,-,-,-,-
S01005061,562,3,42,4,218,-,21,1,102,1,8,3,242,2,13,-,49,13,14,22,-,-,-,-,-,-,-,-
S01005062,298,8,16,-,185,7,10,-,54,-,3,-,59,1,3,-,23,13,7,3,-,-,-,-,-,-,-,-
S01005063,312,-,41,3,132,-,17,2,83,-,8,-,97,-,16,1,39,12,9,18,6,-,3,3,-,-,-,-
S01005064,488,3,19,5,207,2,5,1,113,-,6,1,168,1,8,3,13,3,3,7,-,-,-,-,-,-,-,-
S01005065,477,6,65,5,311,5,34,2,100,1,14,2,66,-,17,1,56,30,12,14,7,-,3,4,-,-,-,-
S01005066,390,8,35,4,301,7,25,3,64,1,6,1,25,-,4,-,38,23,12,3,3,3,-,-,-,-,-,-
S01005067,266,6,38,8,112,4,17,4,67,-,8,2,87,2,13,2,34,13,7,14,6,-,3,3,-,-,-,-
S01005068,414,-,31,-,340,-,22,-,44,-,4,-,30,-,5,-,24,17,3,4,-,-,-,-,-,-,-,-
S01005069,340,1,22,3,255,-,17,3,57,-,4,-,28,1,1,-,41,30,8,3,-,-,-,-,-,-,-,-
S01005070,457,2,64,15,254,-,22,12,92,2,18,-,111,-,24,3,50,28,9,13,6,3,-,3,-,-,-,-
S01005071,283,8,27,2,242,7,16,-,28,1,9,2,13,-,2,-,50,40,7,3,4,4,-,-,-,-,-,-
S01005072,359,-,24,1,271,-,13,-,54,-,7,1,34,-,4,-,28,22,3,3,4,4,-,-,-,-,-,-
S01005073,447,10,61,4,198,5,21,-,88,2,12,2,161,3,28,2,43,15,8,20,8,5,-,3,-,-,-,-
S01005074,474,4,20,7,255,1,9,2,80,3,3,4,139,-,8,1,36,11,10,15,6,3,-,3,-,-,-,-
S01005075,205,9,21,2,170,7,16,-,27,1,3,1,8,1,2,1,44,40,4,-,-,-,-,-,-,-,-,-
S01005076,442,1,22,-,371,1,16,-,50,-,3,-,21,-,3,-,27,19,5,3,-,-,-,-,-,-,-,-
S01005077,382,1,58,7,183,-,22,3,107,-,19,1,92,1,17,3,28,15,9,4,4,-,-,4,-,-,-,-
S01005078,410,1,28,1,320,1,23,1,60,-,4,-,30,-,1,-,31,18,5,8,3,3,-,-,-,-,-,-
S01005079,378,-,30,-,292,-,17,-,54,-,9,-,32,-,4,-,28,20,8,-,6,3,3,-,-,-,-,-
S01005080,294,1,23,-,235,1,17,-,41,-,4,-,18,-,2,-,22,16,3,3,-,-,-,-,-,-,-,-
S01005081,375,2,37,-,278,2,25,-,72,-,9,-,25,-,3,-,28,20,4,4,6,3,3,-,-,-,-,-
S01005082,422,4,41,-,210,3,13,-,110,1,14,-,102,-,14,-,27,11,8,8,-,-,-,-,-,-,-,-
S01005083,565,2,30,6,341,1,12,-,100,1,11,-,124,-,7,6,25,10,3,12,3,-,-,3,-,-,-,-
S01005084,379,6,20,-,301,4,17,-,45,1,3,-,33,1,-,-,30,21,4,5,3,3,-,-,-,-,-,-
S01005085,357,3,22,1,218,2,12,-,65,-,6,1,74,1,4,-,23,10,7,6,-,-,-,-,-,-,-,-
S01005086,391,3,36,1,290,1,24,1,67,1,8,-,34,1,4,-,37,22,13,2,-,-,-,-,-,-,-,-
S01005087,281,4,18,4,205,3,11,2,45,-,5,1,31,1,2,1,18,6,8,4,-,-,-,-,-,-,-,-
S01005088,368,-,11,-,230,-,4,-,65,-,3,-,73,-,4,-,19,8,6,5,3,-,-,3,-,-,-,-
S01005089,471,-,23,4,269,-,7,2,85,-,6,-,117,-,10,2,26,11,8,7,-,-,-,-,-,-,-,-
S01005090,512,4,30,3,257,1,7,-,114,1,10,2,141,2,13,1,35,15,9,11,12,3,3,6,-,-,-,-
S01005091,422,-,22,3,167,-,3,-,93,-,9,2,162,-,10,1,23,5,8,10,3,-,-,3,-,-,-,-
S01005092,424,2,22,1,262,1,14,-,92,1,3,-,70,-,5,1,27,8,12,7,9,3,3,3,-,-,-,-
S01005093,501,-,23,1,375,-,18,1,80,-,3,-,46,-,2,-,26,10,10,6,6,3,-,3,-,-,-,-
S01005094,338,3,21,2,164,2,4,-,62,-,7,-,112,1,10,2,25,8,5,12,-,-,-,-,-,-,-,-
S01005095,593,5,49,2,331,3,21,-,99,-,17,-,163,2,11,2,31,17,6,8,3,-,-,3,-,-,-,-
S01005096,331,7,32,-,180,3,22,-,58,2,8,-,93,2,2,-,19,7,4,8,4,-,-,4,-,-,-,-
S01005097,430,4,54,10,200,2,18,-,83,2,9,3,147,-,27,7,14,5,4,5,4,-,-,4,-,-,-,-
S01005098,470,-,32,10,258,-,19,4,106,-,5,2,106,-,8,4,16,8,6,2,9,3,3,3,-,-,-,-
S01005099,525,-,25,-,243,-,7,-,100,-,7,-,182,-,11,-,25,6,10,9,5,-,-,5,-,-,-,-
S01005100,336,-,21,1,163,-,8,-,86,-,8,-,87,-,5,1,16,5,5,6,7,-,4,3,-,-,-,-
S01005101,510,6,35,10,280,1,14,1,80,2,13,2,150,3,8,7,44,19,11,14,4,-,-,4,-,-,-,-
S01005102,582,7,47,9,290,2,17,6,130,4,11,1,162,1,19,2,28,14,5,9,4,-,-,4,-,-,-,-
S01005103,510,8,80,8,201,2,20,4,89,1,23,1,220,5,37,3,63,38,8,17,3,-,-,3,-,-,-,-
S01005104,408,9,36,14,177,3,8,3,77,1,7,3,154,5,21,8,41,12,10,19,7,4,-,3,-,-,-,-
S01005105,490,13,32,3,272,9,16,3,111,3,9,-,107,1,7,-,49,23,10,16,-,-,-,-,-,-,-,-
S01005106,298,2,40,4,206,1,23,1,51,1,12,2,41,-,5,1,13,7,6,-,-,-,-,-,-,-,-,-
S01005107,333,3,26,6,180,2,10,3,77,-,6,2,76,1,10,1,34,16,7,11,3,-,3,-,-,-,-,-
S01005108,364,1,12,1,230,1,7,-,71,-,-,-,63,-,5,1,6,2,3,1,-,-,-,-,-,-,-,-
S01005109,545,8,72,7,287,5,26,3,122,2,21,2,136,1,25,2,46,23,6,17,9,3,-,6,-,-,-,-
S01005110,641,14,49,5,328,5,18,3,152,6,12,-,161,3,19,2,50,27,14,9,3,-,-,3,-,-,-,-
S01005111,305,6,21,-,167,3,6,-,63,2,6,-,75,1,9,-,25,14,6,5,3,-,-,3,-,-,-,-
S01005112,480,6,65,14,248,2,23,5,106,4,15,4,126,-,27,5,44,17,11,16,15,5,5,5,-,-,-,-
S01005113,610,4,41,1,422,1,29,-,96,2,5,-,92,1,7,1,27,10,10,7,5,-,5,-,-,-,-,-
S01005114,515,12,17,1,386,8,9,-,85,4,6,1,44,-,2,-,27,16,7,4,6,3,3,-,-,-,-,-
S01005115,468,16,50,4,247,7,21,3,86,4,16,-,135,5,13,1,42,15,15,12,-,-,-,-,-,-,-,-
S01005116,413,-,18,6,230,-,11,3,93,-,5,1,90,-,2,2,27,19,1,7,-,-,-,-,-,-,-,-
S01005117,405,2,27,4,212,-,10,1,73,-,12,2,120,2,5,1,32,19,3,10,3,-,-,3,-,-,-,-
S01005118,413,5,39,11,199,4,12,6,93,-,14,2,121,1,13,3,43,19,11,13,6,3,3,-,-,-,-,-
S01005119,410,-,20,6,135,-,4,4,95,-,2,-,180,-,14,2,19,5,5,9,4,-,-,4,-,-,-,-
S01005120,383,-,20,-,219,-,13,-,56,-,3,-,108,-,4,-,15,11,2,2,-,-,-,-,-,-,-,-
S01005121,503,2,38,-,277,1,21,-,98,1,5,-,128,-,12,-,29,13,8,8,9,-,4,5,-,-,-,-
