datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01005072,551,2,43,1,-,-,-,-,42,-,10,-,-,-
S01005073,685,17,91,7,3,-,-,2,64,5,8,3,-,-
S01005074,719,5,35,8,-,-,-,-,52,8,3,-,-,-
S01005075,421,28,48,7,-,-,-,-,109,3,-,3,-,-
S01005076,707,7,50,1,-,-,-,-,59,2,3,-,-,-
S01005077,576,1,102,11,-,-,-,-,43,-,6,-,-,-
S01005078,652,3,69,3,-,-,-,-,56,5,-,-,-,-
S01005079,601,2,65,-,17,-,-,-,48,4,6,-,-,-
S01005080,457,2,47,-,-,-,-,-,38,5,-,-,-,-
S01005081,585,2,74,-,-,-,-,-,64,1,7,-,-,-
S01005082,624,7,64,-,-,-,-,-,42,3,3,-,-,-
S01005083,863,2,48,7,8,1,-,-,49,4,9,3,-,-
S01005084,569,9,40,-,-,-,-,-,64,8,-,-,-,-
S01005085,529,6,31,1,-,-,-,-,34,3,3,3,-,-
S01005086,648,5,75,3,-,-,-,-,69,13,-,-,-,-
S01005087,466,9,24,6,-,-,-,-,35,3,5,-,-,-
S01005088,550,-,17,3,17,-,7,-,33,2,-,-,-,-
S01005089,730,2,40,8,24,-,10,-,38,10,3,-,-,-
S01005090,791,7,51,4,-,-,-,-,61,6,17,-,3,-
S01005091,654,1,32,3,-,-,-,-,38,2,10,-,-,-
S01005092,622,3,40,2,-,-,-,-,48,4,6,-,-,-
S01005093,738,-,42,4,-,-,-,-,42,4,6,-,-,-
S01005094,472,6,33,3,-,-,-,-,47,-,-,-,-,-
S01005095,858,11,78,3,11,-,6,2,65,6,25,5,-,-
S01005096,530,11,66,-,-,-,-,-,32,2,7,-,-,-
S01005097,639,9,82,11,-,-,-,-,36,4,9,-,-,-
S01005098,686,-,46,11,16,-,15,-,30,2,12,-,-,-
S01005099,786,2,45,-,-,-,-,-,51,6,14,-,-,-
S01005100,547,-,32,1,9,-,4,-,25,3,10,-,-,-
S01005101,741,10,55,14,-,-,-,-,61,2,8,-,-,-
S01005102,843,9,72,16,25,-,4,-,50,9,13,-,-,-
S01005103,734,11,115,14,40,-,80,4,88,3,3,3,-,-
S01005104,585,15,46,22,258,-,74,13,80,14,19,12,-,-
S01005105,793,18,55,9,-,-,1,-,77,7,-,-,-,-
S01005106,478,3,68,9,1,-,-,-,22,5,3,-,-,-
S01005107,513,6,39,7,-,-,-,-,53,1,3,-,-,-
S01005108,549,3,15,2,-,-,-,-,19,5,-,-,-,-
S01005109,779,15,96,9,6,-,4,-,78,2,11,5,-,-
S01005110,895,18,75,8,-,-,-,-,83,7,10,-,-,-
S01005111,488,9,30,-,-,-,-,-,40,1,6,-,-,-
S01005112,727,10,92,15,22,-,9,-,96,6,17,-,-,-
S01005113,949,11,74,2,4,-,-,1,50,6,10,-,-,-
S01005114,862,33,43,1,-,-,-,-,48,3,3,3,-,-
S01005115,718,30,98,6,29,-,5,-,56,6,6,-,-,-
S01005116,604,1,31,7,-,-,-,-,54,1,-,3,-,-
S01005117,577,3,34,6,54,-,6,1,54,6,6,-,-,-
S01005118,652,11,65,13,17,-,3,-,89,8,6,-,-,-
S01005119,607,-,34,7,16,-,4,-,39,8,13,3,-,-
S01005120,566,-,29,-,34,-,19,2,37,3,6,-,-,-
S01005121,737,4,59,-,33,-,4,1,60,9,9,13,-,-
S01005122,703,6,46,13,-,-,-,-,72,4,10,-,-,-
S01005123,677,3,57,6,-,-,-,-,39,7,3,3,3,-
S01005124,676,3,40,3,17,1,8,-,48,3,3,-,-,-
S01005125,675,12,97,3,1,-,1,-,99,4,6,3,-,-
S01005126,494,9,30,2,16,1,5,-,46,6,3,-,-,-
S01005127,553,4,63,-,13,-,-,-,30,4,3,-,-,-
S01005128,719,1,80,5,19,1,7,-,40,2,18,-,-,-
S01005129,797,13,57,6,-,-,-,-,64,5,3,-,-,-
S01005130,585,5,57,4,-,-,-,-,80,1,3,-,-,-
S01005131,699,17,110,2,14,-,6,1,59,9,9,-,-,-
S01005132,597,3,43,2,45,-,8,-,67,4,-,-,-,-
S01005133,438,4,35,9,3,-,-,-,41,4,3,3,-,-
S01005134,886,11,64,4,-,-,-,-,71,5,-,-,-,-
S01005135,617,28,73,7,-,-,-,-,61,1,3,-,-,-
S01005136,727,21,71,4,40,1,9,1,67,10,10,-,-,-
S01005137,753,13,79,12,1,-,2,-,99,7,10,-,3,-
S01005138,937,24,105,12,-,-,-,-,64,-,6,-,-,-
S01005139,531,15,58,9,20,-,4,10,52,1,10,3,-,-
S01005140,488,8,38,12,103,-,18,6,58,10,18,11,-,-
S01005141,739,16,65,25,7,-,-,1,61,3,20,-,-,-
S01005142,531,3,58,12,19,1,8,3,45,16,15,4,-,-
S01005143,825,8,65,23,54,-,4,-,48,16,9,3,-,-
S01005144,865,20,61,18,65,6,24,8,77,8,17,3,-,-
S01005145,686,14,64,7,6,-,2,3,51,3,15,-,-,-
S01005146,594,24,59,8,16,3,11,-,62,7,9,3,-,-
S01005147,767,21,64,14,29,1,3,13,93,4,7,-,-,-
S01005148,610,7,38,2,-,-,-,-,46,1,3,-,-,-
S01005149,548,5,39,6,-,-,-,-,30,2,3,-,-,-
S01005150,591,9,36,3,-,-,-,-,42,3,3,-,3,-
S01005151,668,1,41,2,12,-,-,1,34,3,3,-,-,-
S01005152,684,-,47,6,-,-,-,-,61,4,6,-,-,-
S01005153,659,7,73,5,2,-,6,-,73,-,11,-,-,-
S01005154,525,1,36,3,29,-,10,-,45,1,11,-,-,-
S01005155,691,6,47,1,-,-,-,-,44,2,7,-,-,-
S01005156,656,7,51,-,-,-,-,-,46,1,9,-,-,-
S01005157,845,10,52,-,-,-,-,-,78,3,4,-,-,3
S01005158,736,4,16,1,-,-,-,-,27,-,-,3,-,-
S01005159,864,10,65,-,-,-,-,-,62,4,-,-,3,-
S01005160,964,11,48,-,-,-,-,-,155,6,-,-,-,-
S01005161,975,-,51,-,50,-,10,-,51,2,3,-,-,-
S01005162,901,4,66,2,-,-,-,-,61,1,-,3,-,-
S01005163,535,1,44,-,-,-,-,-,36,7,-,-,-,-
S01005164,864,8,49,3,-,-,-,-,44,3,-,-,-,-
S01005165,710,-,43,4,-,-,-,-,65,2,6,-,-,-
S01005166,954,13,69,1,2,-,-,-,98,1,9,3,3,-
S01005167,864,5,75,3,-,-,-,-,105,3,3,-,-,-
S01005168,613,4,68,-,-,-,-,-,53,2,3,-,-,-
S01005169,588,3,25,2,-,-,-,-,31,2,6,3,-,-
S01005170,793,6,36,-,-,-,-,-,25,3,4,-,-,-
S01005171,805,7,60,2,93,-,26,-,47,4,3,-,-,-
S01005172,679,14,130,1,258,9,70,11,99,18,6,3,3,-
S01005173,661,-,40,2,-,-,-,-,42,2,-,-,-,-
S01005174,869,9,85,-,-,-,-,-,61,1,-,-,-,-
S01005175,639,2,38,4,-,-,-,-,40,1,6,-,-,-
S01005176,627,9,43,4,-,-,-,-,34,5,-,-,-,-
S01005177,884,13,100,1,-,-,-,-,141,2,3,-,-,-
S01005178,881,1,53,-,-,-,-,-,59,-,3,-,-,-
S01005179,882,-,95,1,-,-,-,-,79,-,11,-,-,-
S01005180,841,2,63,2,-,-,-,-,63,-,3,-,-,-
S01005181,680,6,128,68,-,-,-,-,42,2,10,4,-,-
S01005182,715,7,78,1,-,-,-,-,64,1,9,-,4,-
S01005183,858,9,71,-,-,-,-,-,100,3,6,-,-,-
S01005184,964,42,38,-,-,-,-,-,76,16,-,-,10,-
S01005185,501,5,25,1,-,-,-,-,34,2,-,-,-,-
S01005186,711,2,32,2,-,-,-,-,28,2,-,-,-,-
S01005187,958,2,35,1,-,-,-,-,38,4,8,-,-,-
S01005188,957,-,24,2,1,-,1,1,35,-,3,3,-,-
S01005189,876,11,56,-,-,-,-,-,75,-,3,-,-,-
S01005190,863,-,33,-,19,-,9,-,42,3,7,3,-,-
S01005191,832,21,75,3,-,-,-,-,77,1,6,-,4,-
S01005192,809,1,24,1,-,-,-,-,54,5,-,-,3,-
S01005193,717,4,68,1,71,-,25,-,40,9,5,-,-,-
S01005194,562,2,23,2,-,-,-,-,26,1,9,-,-,-
S01005195,952,9,43,1,-,-,-,-,40,-,-,-,-,-
S01005196,689,3,110,2,-,-,-,-,77,4,-,-,-,-
S01005197,680,2,78,2,-,-,-,-,66,5,-,-,-,-
S01005198,872,6,33,8,-,-,-,-,48,-,3,-,-,-
S01005199,846,-,49,4,4,-,4,-,61,2,-,-,-,-
S01005200,574,1,47,6,-,-,-,-,54,-,3,-,-,-
S01005201,800,11,59,3,-,-,-,-,65,1,6,-,-,-
S01005202,846,15,44,-,-,-,-,-,80,3,7,-,-,-
S01005203,904,3,36,2,10,-,2,-,62,2,-,-,-,-
S01005204,518,-,31,-,-,-,-,-,41,-,6,-,-,-
S01005205,768,9,82,8,3,-,3,-,98,1,6,-,-,-
S01005206,898,-,23,7,-,-,-,-,23,1,6,-,-,-
S01005207,884,15,52,-,-,-,-,-,58,1,-,-,-,-
S01005208,570,9,63,-,-,-,-,-,79,-,-,-,-,-
S01005209,736,4,57,2,-,-,-,-,51,4,-,-,-,-
S01005210,880,4,74,3,-,-,-,-,41,4,4,-,-,-
S01005211,590,10,121,1,-,-,-,-,36,-,3,-,-,-
S01005212,586,4,41,1,17,-,6,-,53,1,-,-,-,-
S01005213,891,4,45,3,-,-,-,-,39,2,6,-,-,-
S01005214,726,9,82,7,-,-,-,-,118,7,13,-,-,-
S01005215,808,8,54,3,26,-,-,-,45,3,-,3,-,-
S01005216,544,5,40,3,-,-,-,-,61,-,3,-,-,-
S01005217,767,2,66,-,-,-,-,-,65,-,3,-,-,-
S01005218,806,18,62,2,-,-,-,-,47,6,6,-,-,-
S01005219,905,14,57,-,37,-,3,-,61,5,-,-,-,-
S01005220,672,3,44,5,-,-,-,-,44,2,3,-,-,-
S01005221,615,3,31,-,101,-,38,-,51,16,16,3,-,-
S01005222,681,7,75,1,-,-,-,-,81,-,-,-,-,-
S01005223,679,2,51,3,-,-,-,-,49,2,6,-,-,-
S01005224,678,10,81,11,-,-,-,-,54,1,13,-,-,-
S01005225,838,11,42,5,25,-,-,-,52,7,6,-,-,-
S01005226,516,1,33,1,-,-,-,-,56,3,6,-,-,-
S01005227,843,8,56,4,-,-,-,-,85,5,6,-,-,-
S01005228,946,4,72,19,208,-,46,-,63,8,10,3,-,-
S01005229,726,-,118,5,-,-,-,-,78,1,7,-,-,-
S01005230,698,2,85,4,-,-,-,-,41,3,3,-,3,-
S01005231,619,11,117,4,-,-,-,-,51,-,16,-,-,-
S01005232,770,3,63,3,40,2,28,-,63,5,-,-,-,-
S01005233,453,13,95,2,22,-,13,-,63,1,6,-,-,-
S01005234,852,9,103,3,42,-,5,-,104,3,-,-,3,-
S01005235,790,9,119,15,6,-,2,-,72,6,-,-,-,-
S01005236,881,8,54,2,-,-,-,-,89,1,17,-,-,-
S01005237,934,1,22,1,-,-,-,-,42,3,3,-,-,-
S01005238,779,5,35,1,-,-,-,-,26,4,3,-,-,-
S01005239,767,16,122,8,-,-,-,-,89,5,16,-,3,-
S01005240,814,7,133,2,-,-,-,-,101,2,-,-,-,-
S01005241,892,-,57,1,-,-,-,-,43,-,3,-,-,-
S01005242,751,12,130,4,-,-,-,-,69,2,3,3,-,3
S01005243,767,2,100,4,-,-,-,-,97,3,11,3,-,-
S01005244,988,-,46,4,-,-,-,-,52,9,3,3,-,-
S01005245,647,16,121,11,3,-,7,2,122,3,20,-,6,-
S01005246,838,13,84,9,-,-,-,-,82,5,-,-,-,-
S01005247,646,13,70,6,-,-,-,-,89,2,6,-,-,3
S01005248,562,9,70,3,-,-,-,-,40,1,-,3,-,-
S01005249,636,6,158,5,-,-,-,-,168,3,8,-,8,-
S01005250,693,6,86,7,-,-,-,-,104,1,-,3,-,-
S01005251,838,19,73,5,-,-,-,-,92,3,15,-,6,-
S01005252,540,19,44,2,-,-,-,-,49,-,6,-,-,-
S01005253,504,1,48,2,-,-,-,-,26,-,-,-,-,-
S01005254,586,5,110,5,34,-,10,5,111,3,-,-,-,-
S01005255,552,18,54,-,-,-,-,-,45,4,-,-,-,-
S01005256,656,6,57,2,-,-,-,-,48,-,7,-,-,-
S01005257,873,3,70,9,-,-,-,-,69,2,6,-,-,-
S01005258,1006,-,28,-,-,-,-,-,39,2,4,-,-,-
S01005259,671,7,55,-,-,-,-,-,37,-,6,-,-,-
S01005260,597,5,32,11,-,-,-,-,29,4,-,-,-,-
S01005261,572,6,36,-,-,-,-,-,45,2,-,3,-,-
S01005262,797,4,126,5,69,-,6,-,85,13,-,-,-,-
S01005263,508,6,63,1,-,-,-,-,42,1,-,-,-,-
S01005264,688,6,37,2,-,-,-,-,23,2,3,-,-,-
S01005265,498,14,41,4,-,-,-,-,123,-,-,-,-,-
S01005266,819,2,35,-,-,-,-,-,54,2,-,-,-,-
S01005267,853,8,62,6,-,-,-,-,70,2,3,-,6,-
S01005268,742,20,177,4,3,-,-,-,101,10,9,-,-,-
S01005269,671,9,31,-,-,-,-,-,27,3,3,-,-,-
S01005270,1019,5,26,3,-,-,-,-,35,4,3,5,-,-
S01005271,576,-,17,-,-,-,-,-,30,-,-,-,-,-
S01005272,593,9,54,4,-,-,-,-,34,4,-,-,-,-
S01005273,769,8,30,2,-,-,-,-,43,1,-,-,-,-
S01005274,693,2,35,3,-,-,-,-,21,1,-,-,-,-
S01005275,481,2,56,3,-,-,-,-,57,4,3,-,-,-
S01005276,598,9,50,2,-,-,-,-,50,4,4,-,-,-
S01005277,610,1,44,-,-,-,-,-,40,-,3,-,-,-
S01005278,779,5,54,-,-,-,-,-,72,1,-,-,3,-
S01005279,519,5,17,5,-,-,-,-,14,1,9,-,-,-
S01005280,705,1,53,3,-,-,-,-,62,2,6,-,-,-
S01005281,804,6,67,4,2,-,5,1,118,-,3,-,-,-
S01005282,683,15,66,-,-,-,-,-,38,7,-,-,-,-
S01005283,756,5,45,5,-,-,-,-,60,3,10,-,6,-
S01005284,754,27,65,4,-,-,-,-,96,3,6,-,-,-
S01005285,668,-,19,-,9,-,-,-,26,1,-,-,-,-
S01005286,680,3,51,8,-,-,-,-,45,7,3,-,-,-
S01005287,726,6,60,5,34,-,21,-,71,-,-,-,-,-
S01005288,837,12,36,-,-,-,-,-,73,3,-,-,-,-
S01005289,811,14,52,8,-,-,-,-,73,-,3,-,-,-
S01005290,542,6,46,-,-,-,-,-,32,-,6,-,-,-
S01005291,627,3,42,-,-,-,-,-,41,1,6,-,-,-
S01005292,665,4,35,4,-,-,-,-,85,3,3,-,-,-
S01005293,771,13,44,4,13,-,3,-,59,3,17,3,-,-
S01005294,516,-,52,5,-,-,-,-,38,5,19,-,-,-
S01005295,550,7,44,1,-,-,-,-,28,1,4,-,-,-
S01005296,841,-,47,1,-,-,-,-,35,-,14,3,-,-
S01005297,670,3,29,1,-,-,-,-,33,2,-,-,-,-
S01005298,995,6,61,4,-,-,-,-,64,2,13,-,-,-
S01005299,548,-,23,1,-,-,-,-,35,-,-,4,3,-
S01005300,874,12,54,9,-,-,-,-,65,3,-,-,-,-
S01005301,836,4,45,2,-,-,-,-,33,1,10,-,-,-
S01005302,950,17,46,-,-,-,-,-,56,2,3,-,-,-
S01005303,713,6,30,14,-,-,-,-,30,2,3,3,-,-
S01005304,694,2,28,1,-,-,-,-,55,2,-,-,-,-
S01005305,760,3,60,2,-,-,-,-,60,5,-,-,-,-
S01005306,969,5,45,-,-,-,-,-,34,1,7,-,-,-
S01005307,858,6,49,4,-,-,-,-,60,3,9,3,-,-
S01005308,492,5,29,3,-,-,-,-,23,3,3,3,-,-
S01005309,853,3,85,3,-,-,-,-,50,6,6,-,-,-
S01005310,962,-,48,-,-,-,-,-,59,4,3,-,-,-
S01005311,885,6,48,-,-,-,-,-,72,-,3,-,-,-
S01005312,587,5,42,1,26,2,28,1,83,5,-,6,-,-
S01005313,861,4,52,-,-,-,-,-,58,-,3,-,-,-
S01005314,505,-,27,9,-,-,-,-,41,-,8,-,-,-
S01005315,631,8,62,3,-,-,-,-,129,1,4,-,-,-
S01005316,839,2,55,-,-,-,-,-,47,-,6,5,-,-
S01005317,547,5,17,-,-,-,-,-,26,-,-,-,-,-
S01005318,498,-,36,-,18,-,14,1,23,4,3,-,-,-
S01005319,650,-,38,2,-,-,-,-,39,-,-,-,-,-
S01005320,590,11,42,4,25,-,1,-,52,4,6,-,-,-
S01005321,604,-,35,-,4,-,-,-,51,2,4,-,3,-
S01005322,721,7,168,9,-,-,-,-,64,6,3,-,-,-
S01005323,666,-,36,-,4,-,-,-,43,4,-,-,-,-
S01005324,709,3,49,9,5,-,3,-,51,3,-,-,-,-
S01005325,774,-,36,4,-,-,-,-,54,1,-,-,-,-
S01005326,900,6,55,-,-,-,-,-,63,6,3,-,-,-
S01005327,590,2,54,-,-,-,-,-,69,2,10,-,-,-
S01005328,596,9,92,8,-,-,-,-,96,2,3,-,-,-
S01005329,487,3,53,8,-,-,-,-,41,3,3,-,6,-
S01005330,643,3,45,2,-,-,7,-,32,4,6,-,-,-
S01005331,656,9,57,2,12,-,2,-,57,2,-,-,-,-
S01005332,493,-,22,3,23,-,11,1,33,1,-,-,-,-
S01005333,767,3,48,2,-,-,-,-,45,2,-,-,-,-
S01005334,492,1,178,7,-,-,-,-,19,-,-,-,-,-
S01005335,533,-,16,-,-,-,-,-,21,1,3,-,-,-
S01005336,523,4,68,15,-,-,-,-,35,-,-,-,-,-
S01005337,897,10,58,1,-,-,-,-,54,1,3,-,-,-
S01005338,548,-,31,1,-,-,-,-,37,-,-,-,-,-
S01005339,707,-,53,2,-,-,-,-,53,2,-,3,-,-
S01005340,544,1,33,2,-,-,-,-,38,-,-,-,-,-
S01005341,656,-,39,4,-,-,-,-,44,2,3,-,-,-
S01005342,754,-,21,1,-,-,-,-,41,1,-,-,-,-
S01005343,896,-,71,3,-,-,-,-,93,1,6,-,-,-
S01005344,732,3,37,1,-,-,-,-,35,3,3,3,-,-
S01005345,691,4,75,1,-,-,-,-,62,-,3,-,-,-
S01005346,792,5,33,7,-,-,-,-,44,2,3,-,-,-
S01005347,682,7,45,3,-,-,-,-,45,-,-,-,-,-
S01005348,739,9,81,2,49,-,9,-,50,-,3,-,-,3
S01005349,846,1,34,4,-,-,-,-,56,-,4,-,-,-
S01005350,637,3,98,22,-,-,-,-,20,3,12,-,-,-
S01005351,765,5,68,1,172,-,43,-,58,6,10,-,-,-
S01005352,882,-,27,2,-,-,-,-,31,2,-,-,-,-
S01005353,957,14,47,3,-,-,-,-,66,1,-,-,-,-
S01005354,938,-,27,-,-,-,-,-,35,1,4,-,-,-
S01005355,786,-,55,1,-,-,-,-,45,4,6,-,3,-
S01005356,698,6,22,5,-,-,-,-,34,-,-,-,-,-
S01005357,681,7,47,1,3,-,-,-,41,3,-,-,-,-
S01005358,814,6,47,4,-,-,-,-,39,2,3,-,8,-
S01005359,876,12,35,6,-,-,-,-,60,-,-,-,-,-
S01005360,860,-,24,2,-,-,-,-,45,2,14,3,-,-
S01005361,859,-,37,6,-,-,-,-,46,1,5,3,-,-
S01005362,717,22,18,13,-,-,-,-,21,2,13,3,-,-
S01005363,665,18,45,20,-,-,-,-,53,2,20,3,-,-
S01005364,805,5,68,33,12,-,8,-,84,7,13,3,-,-
S01005365,566,6,33,4,56,-,8,4,43,-,20,4,-,-
S01005366,708,12,38,-,-,-,-,-,48,5,12,-,-,-
S01005367,817,20,61,9,-,-,-,-,52,10,3,-,-,-
S01005368,607,11,42,2,64,-,20,-,50,1,-,-,-,-
S01005369,862,9,99,17,-,-,-,-,87,2,12,-,-,-
S01005370,749,6,52,5,35,1,19,-,47,8,6,-,-,-
S01005371,929,6,46,6,-,-,-,-,50,6,3,3,-,-
S01005372,865,18,87,6,6,-,-,-,86,9,-,3,-,-
S01005373,763,-,49,1,-,-,-,-,69,4,9,-,-,-
S01005374,829,14,72,6,5,-,-,-,65,7,12,-,-,-
S01005375,944,7,33,8,-,-,-,-,45,3,6,-,3,-
S01005376,883,5,51,-,15,-,1,-,51,5,-,-,-,-
S01005377,818,5,67,9,-,-,-,-,50,-,6,-,-,-
S01005378,680,3,82,12,-,-,-,-,76,1,6,3,-,-
S01005379,919,8,39,6,-,-,-,-,63,6,3,4,-,-
S01005380,613,12,66,2,-,-,-,-,41,3,-,-,-,-
S01005381,619,15,40,8,-,-,-,-,34,3,6,3,-,-
S01005382,649,40,67,6,-,-,-,-,66,1,3,-,-,-
S01005383,586,12,41,20,8,-,1,-,52,2,16,3,-,-
S01005384,758,4,42,15,-,-,-,-,49,3,18,-,-,-
S01005385,662,24,71,17,-,-,-,-,41,5,6,3,-,-
S01005386,547,10,47,4,-,-,-,-,30,5,3,3,-,-
S01005387,902,3,47,7,-,-,-,-,60,-,-,3,-,-
S01005388,687,6,42,20,-,-,-,-,60,-,-,-,-,-
S01005389,671,12,92,10,1,-,3,-,61,10,4,-,-,-
S01005390,776,15,44,10,-,-,-,-,51,2,-,-,-,-
S01005391,635,1,75,5,16,1,4,-,41,6,6,3,-,-
S01005392,741,30,81,27,3,-,1,1,69,-,13,-,-,-
S01005393,737,27,80,9,16,1,11,-,59,6,6,3,-,-
S01005394,738,17,73,9,-,-,-,-,49,4,7,-,-,-
S01005395,807,2,42,5,-,-,-,-,41,8,11,-,-,-
S01005396,605,3,40,5,1,-,-,-,43,1,6,3,-,-
S01005397,534,9,37,10,-,-,-,-,29,2,3,-,-,-
S01005398,871,12,81,7,-,-,-,-,61,11,-,-,-,-
S01005399,884,8,64,2,4,-,-,-,69,5,9,3,-,-
S01005400,832,29,77,11,31,-,9,-,89,3,15,-,-,-
S01005401,833,9,80,3,16,1,7,-,56,1,-,3,-,-
S01005402,837,8,63,9,-,-,-,-,61,6,11,-,-,-
S01005403,861,21,47,3,-,-,-,-,71,-,3,-,-,-
S01005404,687,4,95,26,30,-,11,-,105,9,29,3,-,-
S01005405,475,7,52,3,-,-,-,-,20,3,9,3,-,-
S01005406,526,-,16,5,-,-,-,-,26,4,6,-,-,-
S01005407,829,16,70,23,-,-,-,-,92,4,3,-,-,-
S01005408,487,13,44,10,-,-,-,-,70,2,3,-,-,-
S01005409,583,4,48,9,-,-,-,-,30,1,-,-,-,-
S01005410,686,10,68,17,3,-,2,2,80,6,9,3,-,-
S01005411,815,6,71,5,6,-,-,-,46,8,3,4,-,-
S01005412,829,17,66,7,-,-,-,-,55,2,6,3,-,-
S01005413,710,40,126,7,-,-,-,-,79,9,3,4,-,-
S01005414,828,13,80,9,19,-,7,1,51,18,10,3,-,-
S01005415,731,2,51,7,16,-,10,-,51,17,14,-,-,-
S01005416,801,17,103,1,29,-,11,-,86,3,3,-,-,-
S01005417,687,2,57,1,11,-,8,1,30,9,3,-,-,-
S01005418,673,11,48,12,47,-,4,2,40,5,10,-,-,-
S01005419,651,11,48,1,-,-,-,-,24,1,3,-,-,-
S01005420,809,-,26,-,-,-,-,-,41,3,-,3,-,-
S01005421,868,6,60,4,-,-,-,-,81,2,6,3,-,-
S01005422,678,16,80,9,55,-,73,12,77,3,11,-,-,-
S01005423,911,8,43,14,-,-,-,-,59,1,3,-,-,-
S01005424,715,5,69,10,22,1,4,1,60,9,-,-,-,-
S01005425,714,20,146,11,2,1,2,-,120,5,11,-,-,-
S01005426,700,15,41,3,-,-,-,-,84,4,15,-,-,-
S01005427,669,18,89,6,-,-,-,-,68,4,12,-,-,-
S01005428,859,16,70,7,-,-,-,-,110,2,7,-,-,-
S01005429,558,6,83,7,31,2,6,-,53,5,3,-,-,-
S01005430,601,-,32,6,-,-,-,-,40,2,6,-,-,-
S01005431,734,2,53,3,-,-,-,-,58,-,7,-,-,-
S01005432,695,4,85,4,-,-,-,-,69,6,8,-,-,-
S01005433,730,5,110,9,-,-,-,-,143,5,10,-,-,-
S01005434,521,13,112,8,-,-,-,-,109,4,9,3,5,-
S01005435,724,7,78,1,-,-,-,-,41,2,-,3,-,-
S01005436,738,14,95,10,16,-,9,5,74,6,9,3,-,-
S01005437,839,-,62,5,-,-,-,-,79,7,9,-,-,-
S01005438,790,12,49,-,-,-,-,-,46,2,5,-,-,-
S01005439,572,9,54,8,-,-,-,-,48,1,4,-,-,-
S01005440,824,15,61,18,22,-,3,-,76,23,10,3,-,-
S01005441,742,15,117,14,3,-,-,-,90,4,6,-,-,-
S01005442,650,19,157,39,4,-,-,-,60,1,-,-,-,-
S01005443,798,14,72,10,16,-,6,-,51,4,12,-,-,-
S01005444,799,14,69,16,1,-,-,1,75,2,6,-,-,-
S01005445,856,16,50,6,-,-,-,-,37,4,9,-,-,-
S01005446,695,25,60,1,-,-,-,-,39,1,3,-,-,-
S01005447,788,3,26,18,-,-,-,-,38,3,6,-,-,-
S01005448,797,7,102,36,-,-,-,-,44,2,23,-,-,-
S01005449,763,28,70,10,21,-,14,-,78,13,14,3,-,-
S01005450,805,13,51,21,9,1,5,-,28,2,16,-,-,-
S01005451,901,8,50,6,25,1,6,-,49,12,3,3,-,-
S01005452,869,4,80,12,-,-,-,-,50,13,15,-,-,-
S01005453,807,22,46,23,-,-,-,-,64,3,6,3,-,-
S01005454,627,4,69,22,26,-,18,1,59,10,6,3,-,-
S01005455,764,4,105,6,7,-,4,-,121,13,9,-,-,-
S01005456,772,10,72,4,-,-,-,-,68,5,3,-,-,-
S01005457,847,3,86,7,-,-,-,-,69,5,3,-,-,-
S01005458,713,5,98,8,-,-,-,-,38,4,-,-,-,-
S01005459,736,2,75,21,2,-,6,3,75,11,3,-,-,-
S01005460,691,21,52,25,-,-,-,-,56,4,18,3,-,-
S01005461,693,16,41,26,32,1,7,2,69,7,42,5,-,-
S01005462,862,4,59,40,-,-,-,-,65,8,9,-,-,-
S01005463,507,7,30,2,-,-,-,-,31,3,8,-,-,-
S01005464,527,8,25,18,-,-,-,-,37,-,6,-,-,-
S01005465,503,16,34,11,-,-,-,-,39,3,3,3,-,-
S01005466,806,7,27,19,-,-,-,-,80,4,10,3,-,-
S01005467,448,14,47,5,-,-,-,-,19,3,5,-,-,-
S01005468,763,22,50,13,44,-,18,2,61,1,6,3,-,-
S01005469,741,11,53,29,-,-,-,-,45,1,39,-,-,-
S01005470,630,6,46,-,-,-,-,-,27,-,13,-,-,-
S01005471,621,4,125,16,-,-,-,-,41,4,18,3,-,-
S01005472,715,14,66,22,-,-,-,-,43,4,9,3,-,-
S01005473,620,7,70,22,-,-,-,-,52,4,15,8,-,-
S01005474,746,11,66,19,15,2,1,-,47,2,11,3,-,-
S01005475,634,25,68,28,20,-,5,-,85,3,85,3,-,-
S01005476,741,1,81,8,57,-,2,-,49,5,8,-,-,-
S01005477,808,13,70,5,-,-,-,-,44,4,9,-,-,-
S01005478,729,25,63,8,10,-,-,-,55,3,11,3,-,-
S01005479,522,2,27,7,-,-,-,-,37,4,3,-,-,-
S01005480,678,4,24,69,-,-,-,-,18,4,27,7,-,-
S01005481,604,4,30,3,-,-,-,-,43,5,6,3,-,-
