datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01000211,587,8,65,10,22,1,12,-,110,10,15,-,-,-
S01000212,724,5,53,2,-,-,-,-,54,4,8,-,-,-
S01000213,584,4,76,7,-,-,-,-,74,1,-,-,-,-
S01000214,481,-,25,-,-,-,-,-,19,-,3,-,-,-
S01000215,476,11,97,16,66,1,57,5,107,6,9,3,-,-
S01000216,584,1,27,6,-,-,-,-,50,1,7,-,-,-
S01000217,614,7,71,3,-,-,-,-,90,2,3,-,-,-
S01000218,679,-,31,1,2,-,3,-,35,1,-,-,-,-
S01000219,635,4,55,2,-,-,-,-,69,7,11,-,-,-
S01000220,526,4,58,5,136,5,345,173,660,24,17,6,-,-
S01000221,704,6,66,3,87,1,22,2,56,6,-,-,-,-
S01000222,729,1,28,-,-,-,-,-,48,5,-,-,-,-
S01000223,480,3,42,-,-,-,-,-,56,1,3,-,-,-
S01000224,702,-,24,5,1,-,35,-,38,1,3,-,-,-
S01000225,549,1,38,1,-,-,-,-,47,2,4,-,-,-
S01000226,559,7,41,3,-,-,-,-,48,3,-,-,-,-
S01000227,581,4,58,3,-,-,-,-,53,1,10,-,-,-
S01000228,566,5,80,2,2,1,2,-,80,2,7,-,-,-
S01000229,740,1,53,1,-,-,-,-,58,1,3,-,-,-
S01000230,622,1,53,1,-,-,-,-,45,3,3,-,-,-
S01000231,698,4,54,5,-,-,-,-,50,3,3,3,-,-
S01000232,632,2,34,1,-,-,-,-,41,1,-,-,-,-
S01000233,524,-,43,-,-,-,-,-,45,3,3,-,-,-
S01000234,703,-,54,4,-,-,-,-,43,1,3,-,-,-
S01000235,724,5,66,-,70,-,23,-,85,2,8,-,-,-
S01000236,651,1,28,-,-,-,-,-,47,7,3,-,-,-
S01000237,856,1,43,6,-,-,-,-,47,-,3,-,-,-
S01000238,459,-,41,7,-,-,-,-,69,-,-,-,-,-
S01000239,683,2,48,-,-,-,-,-,38,-,-,-,-,-
S01000240,677,6,34,4,-,-,-,-,35,1,3,-,-,-
S01000241,689,1,45,-,-,-,-,-,36,2,3,3,-,-
S01000242,558,3,70,9,-,-,-,-,47,8,16,-,-,-
S01000243,698,6,35,-,-,-,-,-,55,1,6,-,-,-
S01000244,959,8,74,4,-,-,-,-,74,6,11,-,-,-
S01000245,885,1,62,3,-,-,-,-,79,1,3,-,-,-
S01000246,719,-,29,-,-,-,-,-,35,2,3,-,-,-
S01000247,734,1,32,-,-,-,-,-,40,4,3,-,-,-
S01000248,794,-,66,6,-,-,-,-,60,1,6,-,-,-
S01000249,682,2,43,5,-,-,-,-,40,2,-,-,-,-
S01000250,736,5,56,1,-,-,-,-,72,-,8,-,-,-
S01000251,470,-,24,2,-,-,-,-,38,2,-,-,-,-
S01000252,809,-,50,3,-,-,-,-,76,2,6,-,-,-
S01000253,713,-,29,-,-,-,-,-,22,3,-,-,-,-
S01000254,725,1,79,2,-,-,-,-,45,3,12,-,-,-
S01000255,589,4,38,1,-,-,-,-,53,-,10,-,-,-
S01000256,841,1,63,6,-,-,-,-,69,2,10,-,-,-
S01000257,769,5,41,-,5,-,4,-,50,3,-,-,-,-
S01000258,618,4,31,6,-,-,-,-,74,5,10,-,-,-
S01000259,582,1,30,1,-,-,-,-,52,-,-,-,-,-
S01000260,766,4,103,11,-,-,-,-,96,4,21,-,-,-
S01000261,895,5,84,9,8,-,-,-,52,4,6,-,-,-
S01000262,880,6,44,7,-,-,-,-,80,1,6,-,-,-
S01000263,737,2,93,9,-,-,-,-,43,38,7,-,-,-
S01000264,975,2,49,-,-,-,-,-,48,4,-,-,-,-
S01000265,731,1,43,1,-,-,-,-,44,4,-,-,-,-
S01000266,899,9,63,5,2,-,-,-,56,2,9,-,-,-
S01000267,630,1,32,2,12,-,10,-,52,5,-,3,-,-
S01000268,700,17,53,8,-,-,-,-,47,3,3,-,-,-
S01000269,575,12,57,-,-,-,-,-,29,4,6,-,-,-
S01000270,875,10,71,5,-,-,-,-,61,8,-,-,-,-
S01000271,814,7,56,7,4,-,-,3,72,17,21,-,-,-
S01000272,834,20,74,10,-,-,-,-,62,5,6,-,-,-
S01000273,364,-,148,11,1,-,-,-,23,2,9,-,-,-
S01000274,553,10,28,3,-,-,-,-,34,4,-,-,-,-
S01000275,925,8,48,1,-,-,-,-,27,9,6,-,-,-
S01000276,678,1,48,5,4,-,-,-,57,4,12,-,-,-
S01000277,589,5,53,7,2,-,18,-,48,6,-,-,-,-
S01000278,492,8,36,1,-,-,-,-,29,2,3,-,-,-
S01000279,499,-,39,8,41,-,20,-,32,21,11,-,-,-
S01000280,548,-,57,8,-,-,-,-,69,7,9,3,-,-
S01000281,586,19,65,7,-,-,-,-,58,1,3,-,-,-
S01000282,586,4,46,8,9,-,2,-,68,3,6,3,-,-
S01000283,743,29,98,8,-,-,-,-,76,10,19,3,-,-
S01000284,728,28,48,9,-,-,-,-,50,3,9,-,-,-
S01000285,621,12,30,8,-,-,-,-,44,2,-,-,-,-
S01000286,768,14,86,6,3,-,1,-,123,3,12,-,-,-
S01000287,590,1,82,7,35,1,7,-,38,4,-,-,-,-
S01000288,830,8,58,1,-,-,-,-,72,2,-,-,-,-
S01000289,783,3,51,7,-,-,-,-,82,4,3,-,-,-
S01000290,678,10,74,1,10,-,1,-,101,1,9,-,-,-
S01000291,699,11,69,4,36,-,9,-,44,5,11,4,-,-
S01000292,837,1,75,2,40,-,9,-,70,5,12,-,-,-
S01000293,653,8,82,15,2,-,-,-,82,3,12,-,-,-
S01000294,635,-,63,1,-,-,-,-,72,8,3,3,-,-
S01000295,574,-,25,7,-,-,-,-,41,2,3,3,-,-
S01000296,481,4,18,5,19,-,3,-,25,8,-,3,-,-
S01000297,717,12,74,7,3,-,-,-,67,4,9,-,-,-
S01000298,280,7,232,7,-,-,-,-,18,-,3,-,-,-
S01000299,810,1,68,3,35,-,15,1,78,9,17,3,-,-
S01000300,691,4,60,8,-,-,-,-,54,1,12,3,-,-
S01000301,500,10,27,15,14,-,5,2,28,7,3,-,-,-
S01000302,517,2,41,1,-,-,-,-,49,4,8,-,-,-
S01000303,549,2,37,16,5,-,-,-,43,2,6,-,-,-
S01000304,854,-,45,-,-,-,-,-,37,3,9,4,-,-
S01000305,951,10,74,4,-,-,-,-,66,2,6,-,-,-
S01000306,662,9,49,19,-,-,-,-,45,5,6,-,-,-
S01000307,906,8,69,3,-,-,-,-,77,2,6,-,-,-
S01000308,912,3,65,7,-,-,-,-,74,1,-,-,-,-
S01000309,660,13,48,26,16,-,2,-,70,4,16,5,-,-
S01000310,808,19,62,5,-,-,-,-,77,-,6,3,-,-
S01000311,814,17,60,6,24,1,6,2,94,8,4,3,-,-
S01000312,517,2,25,16,50,2,12,1,51,2,4,-,-,-
S01000313,669,-,31,4,-,-,-,-,38,4,-,-,-,-
S01000314,531,8,33,-,-,-,-,-,35,-,7,-,-,-
S01000315,584,3,25,8,27,-,2,-,34,5,7,-,-,-
S01000316,686,31,60,12,4,-,2,-,23,5,6,-,6,-
S01000317,481,1,67,2,-,-,-,-,24,2,6,-,-,-
S01000318,532,4,34,-,-,-,-,-,32,4,9,-,-,-
S01000319,635,1,47,2,32,-,6,-,75,1,6,-,-,-
S01000320,667,4,48,2,-,-,-,-,57,1,6,-,-,-
S01000321,537,3,38,1,-,-,-,-,48,3,4,-,-,-
S01000322,926,-,106,29,2,-,-,-,63,8,23,3,-,-
S01000323,773,14,82,10,-,-,-,-,55,3,6,-,-,-
S01000324,812,4,47,4,-,-,-,-,84,1,-,-,-,-
S01000325,545,4,67,2,-,-,-,-,32,2,-,-,-,-
S01000326,702,5,51,5,-,-,-,-,51,3,-,-,-,-
S01000327,836,-,55,7,-,-,-,-,57,3,13,-,-,-
S01000328,565,7,26,2,-,-,-,-,29,1,-,-,6,-
S01000329,541,7,50,3,-,-,1,-,47,2,3,3,-,-
S01000330,622,2,66,11,25,-,3,-,41,5,10,-,-,-
S01000331,586,2,28,4,-,-,-,-,23,3,9,3,-,-
S01000332,595,1,60,18,1,-,3,-,62,13,-,-,-,-
S01000333,724,1,60,11,8,-,5,-,55,16,10,3,-,-
S01000334,756,8,89,6,31,1,-,-,38,5,3,-,-,-
S01000335,602,-,44,3,-,-,-,-,41,5,3,-,-,-
S01000336,661,10,84,19,28,-,12,1,85,4,7,3,-,-
S01000337,613,1,56,13,1,-,-,-,64,2,-,-,-,-
S01000338,420,10,44,5,25,-,3,-,63,2,10,-,-,-
S01000339,962,23,90,9,-,-,2,-,56,7,15,-,-,-
S01000340,890,11,59,7,-,-,-,-,90,2,-,-,-,-
S01000341,644,5,57,6,29,-,3,2,58,3,16,-,-,-
S01000342,450,12,53,5,-,-,-,-,40,5,-,-,-,-
S01000343,556,13,35,3,29,-,6,-,43,3,6,-,-,-
S01000344,820,12,55,1,2,-,-,-,63,5,6,3,-,-
S01000345,591,-,54,-,-,-,-,-,62,3,6,-,6,-
S01000346,641,-,34,1,2,-,5,-,45,1,6,-,-,-
S01000347,437,-,27,14,-,-,-,-,33,-,7,-,-,-
S01000348,731,8,71,4,-,-,-,-,61,-,-,-,-,-
S01000349,546,3,34,4,-,-,-,-,50,-,3,-,-,-
S01000350,764,6,201,13,-,-,-,-,45,2,-,-,-,-
S01000351,920,12,72,13,-,-,-,-,74,3,9,-,-,-
S01000352,743,8,46,-,-,-,-,-,44,3,3,-,-,-
S01000353,571,1,83,4,-,-,-,-,58,1,10,-,-,-
S01000354,483,1,47,4,66,-,28,2,20,2,6,-,-,-
S01000355,636,8,47,12,-,-,-,-,42,1,-,3,-,-
S01000356,577,1,30,3,-,-,-,-,35,2,6,-,-,-
S01000357,630,-,46,6,-,-,-,-,60,1,3,-,-,-
S01000358,935,1,76,8,-,-,-,-,97,6,29,-,-,-
S01000359,776,8,58,8,-,-,-,-,41,2,4,5,-,-
S01000360,447,18,26,6,4,1,-,4,16,5,-,3,-,-
S01000361,550,6,56,1,-,-,-,-,42,2,7,-,-,-
S01000362,866,4,32,8,-,-,-,-,46,3,-,-,-,-
S01000363,879,5,50,17,-,-,-,-,58,1,23,-,-,-
S01000364,805,12,55,5,15,-,5,-,39,5,9,-,-,-
S01000365,594,3,68,4,-,-,-,-,16,-,3,-,-,-
S01000366,709,11,39,2,-,-,-,-,26,2,-,-,-,-
S01000367,704,2,37,5,5,-,-,-,39,5,3,-,-,-
S01000368,714,11,63,3,-,-,-,-,80,5,-,3,-,-
S01000369,907,2,51,13,-,-,-,-,60,4,3,-,-,-
