"datazone","stayer","total","mover","one_year_mover_prop","ten_year_stayer_prop"
"S01003510",802,957,155,0.1619644723093,0.170853667258825
"S01003511",857,1191,334,0.280436607892527,0.0372126505272872
"S01003512",688,762,74,0.0971128608923885,0.360026666187194
"S01003513",429,964,535,0.554979253112033,0.000304650982328596
"S01003514",564,989,425,0.429726996966633,0.00363771041813899
"S01003515",724,796,72,0.0904522613065327,0.38748507983305
"S01003516",658,742,84,0.113207547169811,0.300759866478133
"S01003517",595,883,288,0.326160815402039,0.0193002360884622
"S01003518",915,1166,251,0.215265866209262,0.0885575180728174
"S01003519",601,746,145,0.194369973190349,0.115174529105052
"S01003520",588,855,267,0.312280701754386,0.0236653054045366
"S01003521",310,685,375,0.547445255474453,0.000360338962202975
"S01003522",583,1010,427,0.422772277227723,0.00410649983547678
"S01003523",541,605,64,0.105785123966942,0.326902998800951
"S01003524",895,1207,312,0.258492129246065,0.0502524976788351
"S01003525",757,1146,389,0.339441535776614,0.0158165813236741
"S01003526",670,1170,500,0.427350427350427,0.00379218407012477
"S01003527",861,969,108,0.111455108359133,0.306756478861783
"S01003528",576,649,73,0.112480739599384,0.303233980051956
"S01003529",458,589,131,0.222410865874363,0.0808168338542877
"S01003530",587,959,372,0.387904066736184,0.00738235525859411
"S01003531",699,882,183,0.207482993197279,0.0977430543650877
"S01003532",999,1125,126,0.112,0.304880506868562
"S01003533",644,829,185,0.223160434258142,0.0800411589041233
"S01003534",837,1077,240,0.222841225626741,0.0803706622586314
"S01003535",673,875,202,0.230857142857143,0.0724552921648983
"S01003536",861,1207,346,0.286661143330572,0.0341160556032323
"S01003537",706,890,184,0.206741573033708,0.0986613250962744
"S01003538",625,705,80,0.113475177304965,0.299853417892373
"S01003539",857,1059,202,0.190745986779981,0.12046159747044
"S01003540",880,1051,171,0.162702188392008,0.169355599764025
"S01003541",740,974,234,0.240246406570842,0.0640807562624505
"S01003542",697,1013,316,0.311944718657453,0.0237811760175639
"S01003543",682,805,123,0.152795031055901,0.190495597341438
"S01003544",435,682,247,0.36217008797654,0.0111441980858796
"S01003545",718,1195,477,0.399163179916318,0.00613148103890713
"S01003546",868,1100,232,0.210909090909091,0.0935988257239936
"S01003547",644,922,278,0.301518438177874,0.027640727095249
"S01003548",457,597,140,0.234505862646566,0.0690905562801989
"S01003549",731,849,118,0.138987043580683,0.22392205294363
"S01003550",671,754,83,0.110079575596817,0.311538513247728
"S01003551",699,801,102,0.127340823970037,0.256121830236485
"S01003552",654,1079,425,0.393883225208526,0.00669210946761547
"S01003553",647,729,82,0.112482853223594,0.303226758622048
"S01003554",584,905,321,0.354696132596685,0.0125211056223218
"S01003555",597,1018,421,0.413555992141454,0.00481133427549597
"S01003556",669,789,120,0.152091254752852,0.192083979918218
"S01003557",725,861,136,0.157955865272938,0.179204351514599
"S01003558",800,1136,336,0.295774647887324,0.0299996754374043
"S01003559",810,954,144,0.150943396226415,0.194700219774751
"S01003560",928,1112,184,0.165467625899281,0.163844508428913
"S01003561",885,1111,226,0.203420342034203,0.102870800076819
"S01003562",602,776,174,0.224226804123711,0.0789491938880228
"S01003563",559,646,87,0.134674922600619,0.235392650427907
"S01003564",826,1122,296,0.263814616755793,0.046759720224611
"S01003565",800,920,120,0.130434782608696,0.247184706121866
"S01003566",536,931,395,0.424274973147154,0.00400083911119953
"S01003567",812,1002,190,0.189620758483034,0.122147076551493
"S01003568",671,923,252,0.273022751895991,0.0412295117140069
"S01003569",695,774,79,0.102067183462532,0.340752020025194
"S01003570",696,838,142,0.16945107398568,0.156189634927524
"S01003571",802,975,173,0.177435897435897,0.141806953130804
"S01003572",920,1090,170,0.155963302752294,0.183490377454776
"S01003573",870,974,104,0.106776180698152,0.323297954911438
"S01003574",722,1150,428,0.372173913043478,0.0095146665392458
"S01003575",818,946,128,0.135306553911205,0.233680069265412
"S01003576",665,1096,431,0.393248175182482,0.00676255657726246
"S01003577",701,863,162,0.187717265353418,0.125046696368964
"S01003578",485,567,82,0.144620811287478,0.209694382877312
"S01003579",477,707,230,0.325318246110325,0.0195429289193436
"S01003580",869,1054,185,0.175521821631879,0.145141516252552
"S01003581",790,2339,1549,0.662248824283882,1.93182906023971e-05
"S01003582",579,748,169,0.225935828877005,0.0772270878958865
"S01003583",546,634,88,0.138801261829653,0.224405681523214
"S01003584",635,754,119,0.157824933687003,0.179483195978867
"S01003585",512,622,110,0.176848874598071,0.142822214564731
"S01003586",774,960,186,0.19375,0.11606393119265
"S01003587",1005,1123,118,0.105075690115761,0.329505793513318
"S01003588",672,754,82,0.108753315649867,0.316212673347189
"S01003589",940,1518,578,0.380764163372859,0.00829012006427356
"S01003590",674,868,194,0.223502304147465,0.0796896122367388
"S01003591",885,1286,401,0.311819595645412,0.0238244575477474
"S01003592",886,1140,254,0.22280701754386,0.080406045902302
